Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data
23_03_21 12:26:25.914;0;O;1;1210;21B5;0;ERR;
23_03_21 12:31:38.983;140973;O;1;1210;21B5;0;ERR;
