Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;rate
23_03_21 12:25:54.394;0;O;1;1210;21B0;4;ERR;0000c843;400.0
23_03_21 12:27:05.113;140119;O;1;1210;21B0;4;ERR;0000c842;100.0
23_03_21 12:27:40.761;141941;O;1;1210;21B0;4;ERR;0000c843;400.0
23_03_21 12:28:53.440;142909;O;1;1210;21B0;4;ERR;0000c843;400.0
23_03_21 12:29:36.448;144878;O;1;1210;21B0;4;ERR;0000c843;400.0
23_03_21 12:30:08.512;146044;O;1;1210;21B0;4;ERR;0000c843;400.0
23_03_21 12:30:45.926;146912;O;1;1210;21B0;4;ERR;0000c843;400.0
23_03_21 12:31:14.166;147926;O;1;1210;21B0;4;ERR;0000c843;400.0
