Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;reason
23_02_21 12:06:31.924;0;I;1220;808;19A0;1;;00;0
23_02_21 12:08:57.127;6511;I;1220;808;19A0;1;;02;2
