Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;pid
23_02_21 12:51:38.464;22493;O;1;1220;22B1;1;ERR;00;0
23_02_21 12:51:51.336;86636;O;1;1220;22B1;1;ERR;01;1
23_02_21 12:51:54.144;87034;O;1;1220;22B1;1;ERR;02;2
23_02_21 12:51:57.455;87125;O;1;1220;22B1;1;ERR;03;3
23_02_21 12:52:01.072;87230;O;1;1220;22B1;1;ERR;04;4
23_02_21 12:52:04.072;87344;O;1;1220;22B1;1;ERR;05;5
