Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;direction.x;direction.y;direction.z;invalidFlag;mcuTemperature
23_03_14 14:37:34.361;0;I;C10;808;22A6;26;;0000000000000000000000000000000000000000000000000100;0.0;0.0;0.0;True;0
23_03_14 14:37:34.393;0;I;C10;808;22A6;26;;0000000000000000000000000000000000000000000000000100;0.0;0.0;0.0;True;0
23_03_14 14:37:34.494;0;I;C10;808;22A6;26;;000000000000000000000000000000000000000000000000011f;0.0;0.0;0.0;True;31
23_03_14 14:37:34.593;0;I;C10;808;22A6;26;;0000000000000000000000000000000000000000000000000120;0.0;0.0;0.0;True;32
23_03_14 14:37:34.693;0;I;C10;808;22A6;26;;000000000000000000000000000000000000000000000000011f;0.0;0.0;0.0;True;31
23_03_14 14:37:34.794;0;I;C10;808;22A6;26;;000000000000000000000000000000000000000000000000011f;0.0;0.0;0.0;True;31
23_03_14 14:37:34.895;0;I;C10;808;22A6;26;;000000000000000000000000000000000000000000000000011f;0.0;0.0;0.0;True;31
23_03_14 14:37:34.994;0;I;C10;808;22A6;26;;000000000000000000000000000000000000000000000000011e;0.0;0.0;0.0;True;30
23_03_14 14:37:35.093;0;I;C10;808;22A6;26;;000000000000000000000000000000000000000000000000011f;0.0;0.0;0.0;True;31
23_03_14 14:37:35.195;0;I;C10;808;22A6;26;;000000000000000000000000000000000000000000000000011e;0.0;0.0;0.0;True;30
23_03_14 14:37:35.295;0;I;C10;808;22A6;26;;000000000000000000000000000000000000000000000000011e;0.0;0.0;0.0;True;30
23_03_14 14:37:35.393;0;I;C10;808;22A6;26;;000000000000000000000000000000000000000000000000011e;0.0;0.0;0.0;True;30
23_03_14 14:37:35.497;0;I;C10;808;22A6;26;;000000000000000000000000000000000000000000000000011e;0.0;0.0;0.0;True;30
23_03_14 14:37:35.593;0;I;C10;808;22A6;26;;000000000000000000000000000000000000000000000000011e;0.0;0.0;0.0;True;30
23_03_14 14:37:35.697;0;I;C10;808;22A6;26;;000000000000000000000000000000000000000000000000011f;0.0;0.0;0.0;True;31
23_03_14 14:37:35.792;0;I;C10;808;22A6;26;;000000000000000000000000000000000000000000000000011f;0.0;0.0;0.0;True;31
23_03_14 14:37:35.893;0;I;C10;808;22A6;26;;000000000000000000000000000000000000000000000000011f;0.0;0.0;0.0;True;31
23_03_14 14:37:35.993;0;I;C10;808;22A6;26;;000000000000000000000000000000000000000000000000011f;0.0;0.0;0.0;True;31
23_03_14 14:37:36.094;0;I;C10;808;22A6;26;;000000000000000000000000000000000000000000000000011f;0.0;0.0;0.0;True;31
