Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;angRate
23_03_21 11:24:28.847;0;I;1210;808;2100;4;;c71d033d;0.032010819762945175
23_03_21 11:24:28.976;0;I;1210;808;2100;4;;7849063d;0.03278490900993347
23_03_21 11:24:29.105;0;I;1210;808;2100;4;;88505cbd;-0.05378773808479309
23_03_21 11:24:29.234;0;I;1210;808;2100;4;;052585bd;-0.06501201540231705
23_03_21 11:24:29.362;0;I;1210;808;2100;4;;fad9ef3c;0.029278744012117386
23_03_21 11:24:29.492;0;I;1210;808;2100;4;;db52023d;0.031817298382520676
23_03_21 11:24:29.633;0;I;1210;808;2100;4;;01bd67bd;-0.05657673254609108
23_03_21 11:24:29.751;0;I;1210;808;2100;4;;cb3b963c;0.018339058384299278
23_03_21 11:24:29.879;0;I;1210;808;2100;4;;01aa113c;0.00889062974601984
23_03_21 11:24:30.010;0;I;1210;808;2100;4;;1060eb3b;0.007183082401752472
23_03_21 11:24:30.138;0;I;1210;808;2100;4;;4272c63b;0.006056101061403751
23_03_21 11:24:30.270;0;I;1210;808;2100;4;;5f7ac0bb;-0.0058739627711474895
23_03_21 11:24:30.398;0;I;1210;808;2100;4;;7b8a053b;0.0020376730244606733
23_03_21 11:24:30.526;0;I;1210;808;2100;4;;830c043b;0.0020149059128016233
23_03_21 11:24:30.668;0;I;1210;808;2100;4;;a4e93fbf;-0.7496588230133057
23_03_21 11:24:30.786;0;I;1210;808;2100;4;;bcb74cbe;-0.19991964101791382
23_03_21 11:24:30.950;0;I;1210;808;2100;4;;c45053bd;-0.051590695977211
23_03_21 11:24:31.048;0;I;1210;808;2100;4;;1a2b34bc;-0.010996604338288307
23_03_21 11:24:31.180;0;I;1210;808;2100;4;;80bbee39;0.0004553459584712982
23_03_21 11:24:31.309;0;I;1210;808;2100;4;;a3c9cc3b;0.006249622907489538
23_03_21 11:24:31.440;0;I;1210;808;2100;4;;3e39923b;0.004462390206754208
23_03_21 11:24:31.571;0;I;1210;808;2100;4;;b592ae3b;0.005327547434717417
23_03_21 11:24:31.702;0;I;1210;808;2100;4;;787d6f3e;0.2338770627975464
23_03_21 11:24:31.831;0;I;1210;808;2100;4;;8a1df33d;0.11870868504047394
23_03_21 11:24:31.959;0;I;1210;808;2100;4;;130aafbc;-0.021367108449339867
23_03_21 11:24:32.088;0;I;1210;808;2100;4;;95c54f3d;0.0507255382835865
23_03_21 11:24:32.218;0;I;1210;808;2100;4;;df2a3dbd;-0.04618346318602562
23_03_21 11:24:32.348;0;I;1210;808;2100;4;;bd90473d;0.04872201755642891
23_03_21 11:24:32.477;0;I;1210;808;2100;4;;c22243bd;-0.047640569508075714
23_03_21 11:24:32.606;0;I;1210;808;2100;4;;e20a433d;0.047617800533771515
23_03_21 11:24:32.735;0;I;1210;808;2100;4;;36de183e;0.14928516745567322
