Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;torque
23_03_21 11:24:28.911;0;I;1210;808;2101;4;;b7e0f535;1.8319323089599493e-06
23_03_21 11:24:29.039;0;I;1210;808;2101;4;;7b33d835;1.61082368776988e-06
23_03_21 11:24:29.168;0;I;1210;808;2101;4;;be79c735;1.4862087027722737e-06
23_03_21 11:24:29.297;0;I;1210;808;2101;4;;2d7bb635;1.3595905556940124e-06
23_03_21 11:24:29.427;0;I;1210;808;2101;4;;db78b636;5.438092102849623e-06
23_03_21 11:24:29.557;0;I;1210;808;2101;4;;63fa3cb6;-2.815992729665595e-06
23_03_21 11:24:29.686;0;I;1210;808;2101;4;;039c9935;1.1444793699411093e-06
23_03_21 11:24:29.815;0;I;1210;808;2101;4;;2b3e15b2;-8.687076835656171e-09
23_03_21 11:24:29.949;0;I;1210;808;2101;4;;a610e232;2.6317433565736792e-08
23_03_21 11:24:30.074;0;I;1210;808;2101;4;;20abd832;2.5223528155038366e-08
23_03_21 11:24:30.203;0;I;1210;808;2101;4;;b4e74b34;1.8990141370522906e-07
23_03_21 11:24:30.333;0;I;1210;808;2101;4;;8bda27b2;-9.77037029059602e-09
23_03_21 11:24:30.471;0;I;1210;808;2101;4;;ecabb3b3;-8.366609449694806e-08
23_03_21 11:24:30.590;0;I;1210;808;2101;4;;64e3d033;9.727116889735044e-08
23_03_21 11:24:30.721;0;I;1210;808;2101;4;;4fcd09b7;-8.213638466258999e-06
23_03_21 11:24:30.950;0;I;1210;808;2101;4;;9b488b36;4.150975200900575e-06
23_03_21 11:24:31.004;0;I;1210;808;2101;4;;80299636;4.475179594010115e-06
23_03_21 11:24:31.114;0;I;1210;808;2101;4;;20755136;3.12116026179865e-06
23_03_21 11:24:31.245;0;I;1210;808;2101;4;;b47f0136;1.929683094203938e-06
23_03_21 11:24:31.381;0;I;1210;808;2101;4;;03ce8b35;1.0416264331070124e-06
23_03_21 11:24:31.505;0;I;1210;808;2101;4;;cc2e2235;6.041780125087826e-07
23_03_21 11:24:31.636;0;I;1210;808;2101;4;;718afc34;4.703938714101241e-07
23_03_21 11:24:31.766;0;I;1210;808;2101;4;;b940b1b5;-1.320636442869727e-06
23_03_21 11:24:31.896;0;I;1210;808;2101;4;;8eef3bb5;-7.001152653174358e-07
23_03_21 11:24:32.024;0;I;1210;808;2101;4;;e81e60b4;-2.0872869299637387e-07
23_03_21 11:24:32.153;0;I;1210;808;2101;4;;123a6bb6;-3.5051530176133383e-06
23_03_21 11:24:32.283;0;I;1210;808;2101;4;;b5f09935;1.1469443279565894e-06
