Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;regular1_data.mag.x;regular1_data.mag.y;regular1_data.mag.z;temperature1;temperature2
23_03_21 11:34:22.867;0;I;1008;808;2903;20;;000f4445019d08c858df31468bd201420000ef41;3136.9375;-139892.015625;11383.8359375;32.45560836791992;29.875
23_03_21 11:34:22.970;0;I;1008;808;2903;20;;0c004445319c08c8b4e431468bd201420000ef41;3136.0029296875;-139888.765625;11385.17578125;32.45560836791992;29.875
23_03_21 11:34:23.071;0;I;1008;808;2903;20;;a1dc4345ec9a08c884e831468bd201420000ef41;3133.789306640625;-139883.6875;11386.12890625;32.45560836791992;29.875
23_03_21 11:34:23.180;0;I;1008;808;2903;20;;51c743451a9a08c8c8f331468bd201420000ef41;3132.457275390625;-139880.40625;11388.9453125;32.45560836791992;29.875
23_03_21 11:34:23.281;0;I;1008;808;2903;20;;56c24345c59908c899fe3146cc1f03420000ef41;3132.14599609375;-139879.078125;11391.6494140625;32.78105163574219;29.875
23_03_21 11:34:23.382;0;I;1008;808;2903;20;;aad44345779908c8d9fb3146cc1f03420000ef41;3133.29150390625;-139877.859375;11390.9619140625;32.78105163574219;29.875
23_03_21 11:34:23.486;0;I;1008;808;2903;20;;93f24345539908c83af23146cc1f03420000ef41;3135.160888671875;-139877.296875;11388.556640625;32.78105163574219;29.875
23_03_21 11:34:23.591;0;I;1008;808;2903;20;;91fb43452c9908c820f43146cc1f03420000ef41;3135.722900390625;-139876.6875;11389.03125;32.78105163574219;29.875
23_03_21 11:34:23.691;0;I;1008;808;2903;20;;d6ed43454b9908c847f53146cc1f03420000ef41;3134.86474609375;-139877.171875;11389.3193359375;32.78105163574219;29.875
23_03_21 11:34:23.790;0;I;1008;808;2903;20;;bcd54345259908c8b0f63146cc1f03420000ef41;3133.3583984375;-139876.578125;11389.671875;32.78105163574219;29.875
23_03_21 11:34:23.892;0;I;1008;808;2903;20;;53cd4345fa9808c84eef3146cc1f03420000ef41;3132.832763671875;-139875.90625;11387.826171875;32.78105163574219;29.875
23_03_21 11:34:23.999;0;I;1008;808;2903;20;;e2c84345779808c8ac003246cc1f03420000ef41;3132.55517578125;-139873.859375;11392.16796875;32.78105163574219;29.875
23_03_21 11:34:24.101;0;I;1008;808;2903;20;;86ca43457a9808c87e043246cc1f03420000ef41;3132.65771484375;-139873.90625;11393.123046875;32.78105163574219;29.875
23_03_21 11:34:24.198;0;I;1008;808;2903;20;;25b843455a9808c8c9043246cc1f03420000ef41;3131.509033203125;-139873.40625;11393.1962890625;32.78105163574219;29.875
23_03_21 11:34:24.303;0;I;1008;808;2903;20;;ca844345689808c821f431460d6d04420000ef41;3128.29931640625;-139873.625;11389.0322265625;33.10649490356445;29.875
23_03_21 11:34:24.412;0;I;1008;808;2903;20;;423a4345379808c858ef31460d6d04420000ef41;3123.64111328125;-139872.859375;11387.8359375;33.10649490356445;29.875
23_03_21 11:34:24.511;0;I;1008;808;2903;20;;8a134345b79708c852f631460d6d04420000ef41;3121.22119140625;-139870.859375;11389.580078125;33.10649490356445;29.875
