Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;angularRate
23_02_14 11:25:52.636;683;I;1220;808;2100;4;;6d7ebdbc;-0.02313157357275486
23_02_14 11:25:52.814;687;I;1220;808;2100;4;;13b100bd;-0.03141887113451958
23_02_14 11:25:52.922;691;I;1220;808;2100;4;;54b7c2bc;-0.023769058287143707
23_02_14 11:25:53.044;695;I;1220;808;2100;4;;50bc1bbd;-0.03802138566970825
23_02_14 11:25:53.177;699;I;1220;808;2100;4;;f357f1bc;-0.029460882768034935
23_02_14 11:25:53.292;703;I;1220;808;2100;4;;c71d03bd;-0.032010819762945175
23_02_14 11:25:53.438;707;I;1220;808;2100;4;;8e43d1bc;-0.0255449078977108
23_02_14 11:25:53.545;711;I;1220;808;2100;4;;51f2ddbc;-0.027093084529042244
23_02_14 11:25:53.679;715;I;1220;808;2100;4;;a445e7bc;-0.02823144942522049
23_02_14 11:25:53.846;719;I;1220;808;2100;4;;71b7f1bc;-0.029506416991353035
23_02_14 11:25:53.980;723;I;1220;808;2100;4;;7f3fd4bc;-0.02590918354690075
23_02_14 11:25:54.069;727;I;1220;808;2100;4;;1e8f1f3e;0.1558193862438202
23_02_14 11:25:54.215;731;I;1220;808;2100;4;;784986bc;-0.016392454504966736
23_02_14 11:25:54.327;735;I;1220;808;2100;4;;740887bc;-0.016483522951602936
23_02_14 11:25:54.456;739;I;1220;808;2100;4;;ae10b0bc;-0.021492328494787216
23_02_14 11:25:54.586;743;I;1220;808;2100;4;;eb6123bd;-0.039888303726911545
23_02_14 11:25:54.716;747;I;1220;808;2100;4;;49f444bd;-0.04808453097939491
23_02_14 11:25:54.859;751;I;1220;808;2100;4;;8ec736bd;-0.044623903930187225
23_02_14 11:25:54.981;755;I;1220;808;2100;4;;f2e321bd;-0.03952402621507645
23_02_14 11:25:55.110;759;I;1220;808;2100;4;;8ec736bd;-0.044623903930187225
23_02_14 11:25:55.240;763;I;1220;808;2100;4;;d95a34bd;-0.04403195157647133
23_02_14 11:25:55.389;767;I;1220;808;2100;4;;a34d32bd;-0.04353107139468193
23_02_14 11:25:55.522;771;I;1220;808;2100;4;;54b742bd;-0.047538116574287415
23_02_14 11:25:55.659;775;I;1220;808;2100;4;;2de47fbc;-0.015618366189301014
23_02_14 11:25:55.773;779;I;1220;808;2100;4;;66fc3eba;-0.0007285535102710128
23_02_14 11:25:55.897;783;I;1220;808;2100;4;;01e0d33b;0.006465912330895662
