Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;msgId;freq
23_02_14 11:51:27.158;0;O;1;1220;1934;3;OK;062102;8454;2
23_02_14 11:51:32.510;50043;O;1;1220;1934;3;OK;062103;8454;3
