Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;regular1_data.mag.x;regular1_data.mag.y;regular1_data.mag.z;temperature1;temperature2
23_03_21 12:06:42.533;0;I;1008;808;2903;20;;3bbc74c6f6482746299b45c78f0707420080f341;-15663.0576171875;10706.240234375;-50587.16015625;33.757381439208984;30.4375
23_03_21 12:06:42.582;0;I;1008;808;2903;20;;1dbd74c6e847274635a045c78f0707420080f341;-15663.2783203125;10705.9765625;-50592.20703125;33.757381439208984;30.4375
23_03_21 12:06:42.685;0;I;1008;808;2903;20;;5fbf74c65847274622a645c78f0707420080f341;-15663.8427734375;10705.8359375;-50598.1328125;33.757381439208984;30.4375
23_03_21 12:06:42.791;0;I;1008;808;2903;20;;91c074c67e48274642a845c78f0707420080f341;-15664.1416015625;10706.123046875;-50600.2578125;33.757381439208984;30.4375
23_03_21 12:06:42.890;0;I;1008;808;2903;20;;4cc074c6cc452746ccaa45c78f0707420080f341;-15664.07421875;10705.44921875;-50602.796875;33.757381439208984;30.4375
23_03_21 12:06:42.990;0;I;1008;808;2903;20;;b3c074c65c4227469ca745c78f0707420080f341;-15664.1748046875;10704.58984375;-50599.609375;33.757381439208984;30.4375
23_03_21 12:06:43.095;0;I;1008;808;2903;20;;cfba74c65840274614a345c78f0707420080f341;-15662.7021484375;10704.0859375;-50595.078125;33.757381439208984;30.4375
23_03_21 12:06:43.200;0;I;1008;808;2903;20;;4db874c6b23d27463ba045c7d05408420080f341;-15662.0751953125;10703.423828125;-50592.23046875;34.08282470703125;30.4375
23_03_21 12:06:43.295;0;I;1008;808;2903;20;;e9b674c6fa3b27466ba445c7d05408420080f341;-15661.7275390625;10702.994140625;-50596.41796875;34.08282470703125;30.4375
23_03_21 12:06:43.395;0;I;1008;808;2903;20;;25b974c6753e27468aa445c7d05408420080f341;-15662.2861328125;10703.6142578125;-50596.5390625;34.08282470703125;30.4375
23_03_21 12:06:43.500;0;I;1008;808;2903;20;;8bb874c654412746d69d45c7d05408420080f341;-15662.1357421875;10704.33203125;-50589.8359375;34.08282470703125;30.4375
23_03_21 12:06:43.599;0;I;1008;808;2903;20;;95b974c6e44427463c9845c7d05408420080f341;-15662.3955078125;10705.22265625;-50584.234375;34.08282470703125;30.4375
23_03_21 12:06:43.705;0;I;1008;808;2903;20;;7aba74c6d2412746499645c7d05408420080f341;-15662.619140625;10704.455078125;-50582.28515625;34.08282470703125;30.4375
23_03_21 12:06:43.805;0;I;1008;808;2903;20;;ebbc74c6823e2746bd9745c7d05408420080f341;-15663.2294921875;10703.626953125;-50583.73828125;34.08282470703125;30.4375
23_03_21 12:06:43.909;0;I;1008;808;2903;20;;f1bf74c6b2402746369145c7d05408420080f341;-15663.9853515625;10704.173828125;-50577.2109375;34.08282470703125;30.4375
23_03_21 12:06:44.016;0;I;1008;808;2903;20;;adc474c6fe422746af8e45c7d05408420080f341;-15665.1689453125;10704.748046875;-50574.68359375;34.08282470703125;30.4375
23_03_21 12:06:44.114;0;I;1008;808;2903;20;;d3c674c66e452746ac8c45c7d05408420080f341;-15665.7060546875;10705.357421875;-50572.671875;34.08282470703125;30.4375
23_03_21 12:06:44.213;0;I;1008;808;2903;20;;eeca74c6ba452746218c45c78bd201420080f341;-15666.732421875;10705.431640625;-50572.12890625;32.45560836791992;30.4375
23_03_21 12:06:44.320;0;I;1008;808;2903;20;;d9cc74c6804427469a8a45c78bd201420080f341;-15667.2119140625;10705.125;-50570.6015625;32.45560836791992;30.4375
23_03_21 12:06:44.426;0;I;1008;808;2903;20;;abcd74c6464427467f8445c78bd201420080f341;-15667.4169921875;10705.068359375;-50564.49609375;32.45560836791992;30.4375
