Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;pid;p;i;d
23_02_14 12:09:09.152;0;O;1;1210;22B0;13;ERR;000ad7233c0ad7233c0ad7233c;0;0.009999999776482582;0.009999999776482582;0.009999999776482582
23_02_14 12:10:27.024;102058;O;1;1210;22B0;13;ERR;000ad7233c000000000ad7233c;0;0.009999999776482582;0.0;0.009999999776482582
23_02_14 12:11:45.649;105790;O;1;1210;22B0;13;ERR;000ad7233ccdcccc3d0ad7233c;0;0.009999999776482582;0.10000000149011612;0.009999999776482582
23_02_14 12:12:36.232;109562;O;1;1210;22B0;13;ERR;000ad7233ccdcccc3dcdcccc3d;0;0.009999999776482582;0.10000000149011612;0.10000000149011612
23_02_14 12:12:58.259;111991;O;1;1210;22B0;13;ERR;000ad7233ccdcccc3dcdcccc3d;0;0.009999999776482582;0.10000000149011612;0.10000000149011612
23_02_14 12:14:20.602;113021;O;1;1210;22B0;13;ERR;000ad7233ccdcccc3d0000803f;0;0.009999999776482582;0.10000000149011612;1.0
