Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;angRate
23_02_14 11:25:51.468;648;I;1210;808;2100;4;;132d1bbb;-0.002367798937484622
23_02_14 11:25:51.611;652;I;1210;808;2100;4;;0cce88bd;-0.06679925322532654
23_02_14 11:25:51.750;656;I;1210;808;2100;4;;62c38abb;-0.0042347172275185585
23_02_14 11:25:51.867;660;I;1210;808;2100;4;;05a5b83c;0.022539624944329262
23_02_14 11:25:52.023;664;I;1210;808;2100;4;;3fad61bd;-0.055096860975027084
23_02_14 11:25:52.133;668;I;1210;808;2100;4;;cbd251bd;-0.0512264184653759
23_02_14 11:25:52.269;672;I;1210;808;2100;4;;3b6c62bd;-0.055278997868299484
23_02_14 11:25:52.393;676;I;1210;808;2100;4;;30a9e43c;0.02791270613670349
23_02_14 11:25:52.525;680;I;1210;808;2100;4;;01262c3e;0.16811372339725494
23_02_14 11:25:52.660;684;I;1210;808;2100;4;;910836bc;-0.011110440827906132
23_02_14 11:25:52.815;688;I;1210;808;2100;4;;9c6aba3d;0.09102365374565125
23_02_14 11:25:52.923;692;I;1210;808;2100;4;;ddd9c0bc;-0.023541385307908058
23_02_14 11:25:53.078;696;I;1210;808;2100;4;;66fc3e3c;0.011656856164336205
23_02_14 11:25:53.179;700;I;1210;808;2100;4;;83889ebd;-0.0774088129401207
23_02_14 11:25:53.332;704;I;1210;808;2100;4;;136ba8bd;-0.08223547786474228
23_02_14 11:25:53.478;708;I;1210;808;2100;4;;e47eabbd;-0.08373811841011047
23_02_14 11:25:53.574;712;I;1210;808;2100;4;;13cca13d;0.07900252193212509
23_02_14 11:25:53.718;716;I;1210;808;2100;4;;d21e8ebd;-0.06939472258090973
23_02_14 11:25:53.847;720;I;1210;808;2100;4;;579f93bd;-0.07208126038312912
23_02_14 11:25:53.980;724;I;1210;808;2100;4;;fda69fbd;-0.0779552236199379
23_02_14 11:25:54.141;728;I;1210;808;2100;4;;e8819dbd;-0.0769079327583313
23_02_14 11:25:54.236;732;I;1210;808;2100;4;;54daaebd;-0.08537736535072327
23_02_14 11:25:54.365;736;I;1210;808;2100;4;;5099afbd;-0.08574163913726807
23_02_14 11:25:54.497;740;I;1210;808;2100;4;;5bbda6bd;-0.08141585439443588
23_02_14 11:25:54.628;744;I;1210;808;2100;4;;988a343d;0.04407748579978943
23_02_14 11:25:54.803;748;I;1210;808;2100;4;;17a45c3d;0.05386742576956749
23_02_14 11:25:54.893;752;I;1210;808;2100;4;;372be3bc;-0.027730567380785942
23_02_14 11:25:55.024;756;I;1210;808;2100;4;;e8fdb7bd;-0.08983975648880005
23_02_14 11:25:55.185;760;I;1210;808;2100;4;;17e2e9bc;-0.02855019085109234
23_02_14 11:25:55.282;764;I;1210;808;2100;4;;f2e321bc;-0.009881006553769112
23_02_14 11:25:55.432;768;I;1210;808;2100;4;;1b61763d;0.060151200741529465
23_02_14 11:25:55.571;772;I;1210;808;2100;4;;c0d1c6bd;-0.09707975387573242
23_02_14 11:25:55.710;776;I;1210;808;2100;4;;740887bc;-0.016483522951602936
23_02_14 11:25:55.819;780;I;1210;808;2100;4;;5f9dac3d;0.08428453654050827
23_02_14 11:25:55.935;784;I;1210;808;2100;4;;f3db56bc;-0.013113963417708874
23_02_14 11:25:56.070;788;I;1210;808;2100;4;;910836bc;-0.011110440827906132
23_02_14 11:25:56.241;792;I;1210;808;2100;4;;f2e321bc;-0.009881006553769112
23_02_14 11:25:56.330;796;I;1210;808;2100;4;;3035153b;0.002276729792356491
23_02_14 11:25:56.460;800;I;1210;808;2100;4;;d91c27bc;-0.010199748910963535
23_02_14 11:25:56.592;804;I;1210;808;2100;4;;e0c191bd;-0.07117056846618652
23_02_14 11:25:56.720;808;I;1210;808;2100;4;;fa65a0bd;-0.0783195048570633
23_02_14 11:25:56.870;812;I;1210;808;2100;4;;6945893a;0.0010472956346347928
23_02_14 11:25:56.979;816;I;1210;808;2100;4;;d2d8b5bd;-0.08879245817661285
23_02_14 11:25:57.110;820;I;1210;808;2100;4;;ebddbdbc;-0.02317710779607296
23_02_14 11:25:57.241;824;I;1210;808;2100;4;;fad96f3d;0.05855748802423477
23_02_14 11:25:57.370;828;I;1210;808;2100;4;;c3dc833d;0.06438591331243515
23_02_14 11:25:57.502;832;I;1210;808;2100;4;;6665833d;0.06415824592113495
23_02_14 11:25:57.641;836;I;1210;808;2100;4;;49f4c43a;0.001502641593106091
23_02_14 11:25:57.762;840;I;1210;808;2100;4;;6224843d;0.06452251970767975
23_02_14 11:25:57.912;844;I;1210;808;2100;4;;7fcb84bb;-0.004052578937262297
23_02_14 11:25:58.026;848;I;1210;808;2100;4;;1691863d;0.06570641696453094
23_02_14 11:25:58.153;852;I;1210;808;2100;4;;914e8e3d;0.06948579102754593
23_02_14 11:25:58.293;856;I;1210;808;2100;4;;e8819dbd;-0.0769079327583313
23_02_14 11:25:58.404;860;I;1210;808;2100;4;;78413b3c;0.011429183185100555
23_02_14 11:25:58.534;864;I;1210;808;2100;4;;2154843d;0.06461358815431595
23_02_14 11:25:58.684;868;I;1210;808;2100;4;;d657c2bc;-0.023723524063825607
23_02_14 11:25:58.814;872;I;1210;808;2100;4;;ae46723d;0.05914943665266037
23_02_14 11:25:58.950;876;I;1210;808;2100;4;;fa6520bd;-0.03915975242853165
23_02_14 11:25:59.071;880;I;1210;808;2100;4;;01e0d3bc;-0.02586364932358265
23_02_14 11:25:59.220;884;I;1210;808;2100;4;;6e76723d;0.05919497460126877
23_02_14 11:25:59.317;888;I;1210;808;2100;4;;5874dcbc;-0.026910945773124695
23_02_14 11:25:59.451;892;I;1210;808;2100;4;;9ccbb3bc;-0.021947674453258514
23_02_14 11:25:59.583;896;I;1210;808;2100;4;;cb105f3d;0.05445937439799309
23_02_14 11:25:59.696;900;I;1210;808;2100;4;;fa1f483d;0.04885862022638321
23_02_14 11:25:59.835;904;I;1210;808;2100;4;;0c2737bd;-0.044714972376823425
23_02_14 11:25:59.956;908;I;1210;808;2100;4;;fe60473d;0.04867648333311081
23_02_14 11:26:00.085;912;I;1210;808;2100;4;;fae13a3d;0.04562566429376602
23_02_14 11:26:00.216;916;I;1210;808;2100;4;;69c1233d;0.039979372173547745
23_02_14 11:26:00.358;920;I;1210;808;2100;4;;b28f3c3d;0.04603547602891922
23_02_14 11:26:00.475;924;I;1210;808;2100;4;;5038363d;0.04448729753494263
23_02_14 11:26:00.607;928;I;1210;808;2100;4;;694589bc;-0.016756730154156685
23_02_14 11:26:00.733;932;I;1210;808;2100;4;;5b418c3d;0.06848403066396713
23_02_14 11:26:00.889;936;I;1210;808;2100;4;;c4b9973d;0.07408478856086731
23_02_14 11:26:01.018;940;I;1210;808;2100;4;;a34d323c;0.010882767848670483
23_02_14 11:26:01.143;944;I;1210;808;2100;4;;bc9892bd;-0.07158038020133972
23_02_14 11:26:01.253;948;I;1210;808;2100;4;;66048abd;-0.06739120185375214
23_02_14 11:26:01.382;952;I;1210;808;2100;4;;eb61a33c;0.019944151863455772
23_02_14 11:26:01.510;956;I;1210;808;2100;4;;f3db563a;0.0008196227136068046
23_02_14 11:26:01.657;960;I;1210;808;2100;4;;710595bd;-0.07276428490877151
23_02_14 11:26:01.768;964;I;1210;808;2100;4;;0521533c;0.012886290438473225
23_02_14 11:26:01.897;968;I;1210;808;2100;4;;62c38a3d;0.06775547564029694
23_02_14 11:26:02.026;972;I;1210;808;2100;4;;13ef8d3d;0.06930365413427353
23_02_14 11:26:02.193;976;I;1210;808;2100;4;;337614bc;-0.00906138401478529
23_02_14 11:26:02.291;980;I;1210;808;2100;4;;e8e2963d;0.07367497682571411
23_02_14 11:26:02.415;984;I;1210;808;2100;4;;dd42853d;0.06506893783807755
23_02_14 11:26:02.564;988;I;1210;808;2100;4;;fe587c3d;0.06160830706357956
23_02_14 11:26:02.679;992;I;1210;808;2100;4;;302d4a3d;0.04935950040817261
23_02_14 11:26:02.802;996;I;1210;808;2100;4;;a0884d3d;0.050179123878479004
23_02_14 11:26:02.930;1000;I;1210;808;2100;4;;c450533d;0.051590695977211
23_02_14 11:26:03.062;1004;I;1210;808;2100;4;;50b4503d;0.050953209400177
23_02_14 11:26:03.190;1008;I;1210;808;2100;4;;e112753d;0.059832457453012466
23_02_14 11:26:03.318;1012;I;1210;808;2100;4;;e705833d;0.06397610157728195
23_02_14 11:26:03.457;1016;I;1210;808;2100;4;;c04d613d;0.055005788803100586
23_02_14 11:26:03.574;1020;I;1210;808;2100;4;;0f68b6bd;-0.08906566351652145
23_02_14 11:26:03.704;1024;I;1210;808;2100;4;;74e59abd;-0.0756329596042633
23_02_14 11:26:03.842;1028;I;1210;808;2100;4;;99c841bd;-0.047310445457696915
23_02_14 11:26:03.972;1032;I;1210;808;2100;4;;66fc3ebd;-0.04662742465734482
23_02_14 11:26:04.093;1036;I;1210;808;2100;4;;1e6c333d;0.04380428045988083
23_02_14 11:26:04.251;1040;I;1210;808;2100;4;;950b28bd;-0.04102667048573494
23_02_14 11:26:04.351;1044;I;1210;808;2100;4;;f6a03b3d;0.04580780118703842
23_02_14 11:26:04.482;1048;I;1210;808;2100;4;;e4df243d;0.04025258123874664
23_02_14 11:26:04.623;1052;I;1210;808;2100;4;;3b32873e;0.2640551030635834
23_02_14 11:26:04.758;1056;I;1210;808;2100;4;;aa6eb73d;0.08956654369831085
23_02_14 11:26:04.869;1060;I;1210;808;2100;4;;dd9b333d;0.04384981468319893
23_02_14 11:26:04.999;1064;I;1210;808;2100;4;;eb6123bd;-0.039888303726911545
23_02_14 11:26:05.130;1068;I;1210;808;2100;4;;8a482abd;-0.04157308489084244
23_02_14 11:26:05.260;1072;I;1210;808;2100;4;;ebddbd3c;0.02317710779607296
23_02_14 11:26:05.412;1076;I;1210;808;2100;4;;cbda9cbd;-0.0765891894698143
23_02_14 11:26:05.549;1080;I;1210;808;2100;4;;18ded0be;-0.4079444408416748
23_02_14 11:26:05.656;1084;I;1210;808;2100;4;;7a9a02be;-0.1275424063205719
23_02_14 11:26:05.787;1088;I;1210;808;2100;4;;5b3941bd;-0.047173839062452316
23_02_14 11:26:05.907;1092;I;1210;808;2100;4;;ef1ebdbc;-0.02308603934943676
23_02_14 11:26:06.035;1096;I;1210;808;2100;4;;cced0b3e;0.13664931058883667
23_02_14 11:26:06.165;1100;I;1210;808;2100;4;;1aa74ebc;-0.012613082304596901
23_02_14 11:26:06.293;1104;I;1210;808;2100;4;;8a8e82bc;-0.015937108546495438
23_02_14 11:26:06.423;1108;I;1210;808;2100;4;;998269bc;-0.01425232831388712
23_02_14 11:26:06.571;1112;I;1210;808;2100;4;;d21e8ebc;-0.017348680645227432
23_02_14 11:26:06.681;1116;I;1210;808;2100;4;;13b1803d;0.06283774226903915
23_02_14 11:26:06.809;1120;I;1210;808;2100;4;;87ff5f3d;0.054687049239873886
23_02_14 11:26:06.937;1124;I;1210;808;2100;4;;8a02d2bc;-0.025635976344347
23_02_14 11:26:07.075;1128;I;1210;808;2100;4;;2caebdbd;-0.09261736273765564
23_02_14 11:26:07.207;1132;I;1210;808;2100;4;;04291ebb;-0.0024133333936333656
23_02_14 11:26:07.323;1136;I;1210;808;2100;4;;ec97653d;0.05605308711528778
23_02_14 11:26:07.452;1140;I;1210;808;2100;4;;493252bd;-0.0513174869120121
23_02_14 11:26:07.581;1144;I;1210;808;2100;4;;75f8f0bc;-0.029415348544716835
23_02_14 11:26:07.708;1148;I;1210;808;2100;4;;9110813d;0.06301987916231155
23_02_14 11:26:07.836;1152;I;1210;808;2100;4;;0c1fecbc;-0.028823398053646088
23_02_14 11:26:07.966;1156;I;1210;808;2100;4;;5ff6dabc;-0.026728807017207146
23_02_14 11:26:08.094;1160;I;1210;808;2100;4;;d30e783d;0.06056101247668266
23_02_14 11:26:08.227;1164;I;1210;808;2100;4;;7fc3b9bc;-0.02267622761428356
23_02_14 11:26:08.352;1168;I;1210;808;2100;4;;9f528b3d;0.06802868098020554
23_02_14 11:26:08.480;1172;I;1210;808;2100;4;;d9a08cbc;-0.017166541889309883
23_02_14 11:26:08.610;1176;I;1210;808;2100;4;;efd8643d;0.05587094649672508
23_02_14 11:26:08.740;1180;I;1210;808;2100;4;;51f25d3d;0.05418616905808449
23_02_14 11:26:08.872;1184;I;1210;808;2100;4;;21f30abd;-0.03392327204346657
23_02_14 11:26:08.998;1188;I;1210;808;2100;4;;256a4c3d;0.049905914813280106
23_02_14 11:26:09.138;1192;I;1210;808;2100;4;;9967c8bd;-0.09785384684801102
23_02_14 11:26:09.261;1196;I;1210;808;2100;4;;257217bc;-0.009243522770702839
23_02_14 11:26:09.395;1200;I;1210;808;2100;4;;17a45c3d;0.05386742576956749
23_02_14 11:26:09.548;1204;I;1210;808;2100;4;;b287713d;0.05896729975938797
23_02_14 11:26:09.649;1208;I;1210;808;2100;4;;b249e4bc;-0.02786717191338539
23_02_14 11:26:09.779;1212;I;1210;808;2100;4;;7028813d;0.06306540966033936
23_02_14 11:26:09.912;1216;I;1210;808;2100;4;;57008dbc;-0.017212076112627983
23_02_14 11:26:10.068;1220;I;1210;808;2100;4;;cb3b963d;0.07335623353719711
23_02_14 11:26:10.169;1224;I;1210;808;2100;4;;42f6abbd;-0.08396579325199127
23_02_14 11:26:10.328;1228;I;1210;808;2100;4;;5f9dacbd;-0.08428453654050827
23_02_14 11:26:10.479;1233;I;1210;808;2100;4;;49fc8fbc;-0.01757635362446308
23_02_14 11:26:10.585;1237;I;1210;808;2100;4;;2965733d;0.05942264571785927
23_02_14 11:26:10.718;1241;I;1210;808;2100;4;;c753c5bc;-0.024087799713015556
23_02_14 11:26:10.832;1245;I;1210;808;2100;4;;510dff3d;0.12453711777925491
23_02_14 11:26:10.949;1249;I;1210;808;2100;4;;6dfad7bc;-0.026364529505372047
23_02_14 11:26:11.108;1253;I;1210;808;2100;4;;66f4733d;0.05955924838781357
23_02_14 11:26:11.220;1257;I;1210;808;2100;4;;3794a7bd;-0.08182566612958908
23_02_14 11:26:11.342;1261;I;1210;808;2100;4;;e47eabbd;-0.08373811841011047
23_02_14 11:26:11.483;1265;I;1210;808;2100;4;;091c7a3d;0.06106189265847206
23_02_14 11:26:11.630;1269;I;1210;808;2100;4;;fe1a6f3d;0.05837535113096237
23_02_14 11:26:11.742;1273;I;1210;808;2100;4;;2d68e5bc;-0.02800377644598484
23_02_14 11:26:11.870;1277;I;1210;808;2100;4;;830c843d;0.06447698920965195
23_02_14 11:26:12.002;1281;I;1210;808;2100;4;;b9d3adbd;-0.08487648516893387
23_02_14 11:26:12.131;1285;I;1210;808;2100;4;;34667e3d;0.06210918724536896
23_02_14 11:26:12.261;1289;I;1210;808;2100;4;;665db8bd;-0.09002189338207245
23_02_14 11:26:12.391;1293;I;1210;808;2100;4;;b995a0bd;-0.0784105733036995
23_02_14 11:26:12.519;1297;I;1210;808;2100;4;;ef64953d;0.07294642180204391
23_02_14 11:26:12.635;1301;I;1210;808;2100;4;;e82024bc;-0.01001761108636856
23_02_14 11:26:12.777;1305;I;1210;808;2100;4;;e820a4bd;-0.08014088869094849
23_02_14 11:26:12.905;1309;I;1210;808;2100;4;;2990aabd;-0.08328277617692947
23_02_14 11:26:13.033;1313;I;1210;808;2100;4;;834a913d;0.07094290107488632
23_02_14 11:26:13.163;1317;I;1210;808;2100;4;;ef64953d;0.07294642180204391
23_02_14 11:26:13.282;1321;I;1210;808;2100;4;;46ab7abc;-0.01529962383210659
23_02_14 11:26:13.403;1325;I;1210;808;2100;4;;45f99dbd;-0.0771356001496315
23_02_14 11:26:13.537;1329;I;1210;808;2100;4;;4d2d79bc;-0.015208554454147816
23_02_14 11:26:13.681;1333;I;1210;808;2100;4;;507643bc;-0.011930063366889954
23_02_14 11:26:13.805;1337;I;1210;808;2100;4;;30d49bbd;-0.0760883092880249
23_02_14 11:26:13.924;1341;I;1210;808;2100;4;;c7999d3d;0.0769534632563591
23_02_14 11:26:14.072;1345;I;1210;808;2100;4;;e09ea53d;0.08086943626403809
23_02_14 11:26:14.206;1349;I;1210;808;2100;4;;78269a3d;0.0752686858177185
23_02_14 11:26:14.343;1353;I;1210;808;2100;4;;918c9bbd;-0.0759517028927803
23_02_14 11:26:14.451;1357;I;1210;808;2100;4;;545e943d;0.07244554162025452
23_02_14 11:26:14.590;1361;I;1210;808;2100;4;;66fc3e39;0.0001821383775677532
23_02_14 11:26:14.743;1365;I;1210;808;2100;4;;25a8593d;0.05313887074589729
23_02_14 11:26:14.840;1369;I;1210;808;2100;4;;5fb84d3d;0.050224658101797104
23_02_14 11:26:14.971;1373;I;1210;808;2100;4;;04ad83bc;-0.016073711216449738
23_02_14 11:26:15.100;1377;I;1210;808;2100;4;;3bf0473d;0.04881308600306511
23_02_14 11:26:15.246;1381;I;1210;808;2100;4;;0c27373d;0.044714972376823425
23_02_14 11:26:15.357;1385;I;1210;808;2100;4;;086a9dbc;-0.019215598702430725
23_02_14 11:26:15.510;1389;I;1210;808;2100;4;;0c0c963d;0.07326516509056091
23_02_14 11:26:15.627;1393;I;1210;808;2100;4;;1766cfbc;-0.02531723491847515
23_02_14 11:26:15.751;1397;I;1210;808;2100;4;;9108b6bd;-0.08888352662324905
23_02_14 11:26:15.879;1401;I;1210;808;2100;4;;49f4c4bc;-0.024042265489697456
23_02_14 11:26:16.021;1405;I;1210;808;2100;4;;0f70813d;0.06320201605558395
23_02_14 11:26:16.162;1409;I;1210;808;2100;4;;7423a8bd;-0.08209887146949768
23_02_14 11:26:16.272;1413;I;1210;808;2100;4;;ab4bcbbc;-0.024816354736685753
23_02_14 11:26:16.425;1417;I;1210;808;2100;4;;a71297bc;-0.018441511318087578
23_02_14 11:26:16.541;1421;I;1210;808;2100;4;;1724a93e;0.3303534686565399
23_02_14 11:26:16.675;1425;I;1210;808;2100;4;;05c0d93d;0.10632327944040298
23_02_14 11:26:16.794;1429;I;1210;808;2100;4;;50fa283d;0.04125434160232544
23_02_14 11:26:16.935;1433;I;1210;808;2100;4;;b2cdc93c;0.024634215980768204
23_02_14 11:26:17.048;1437;I;1210;808;2100;4;;2cf4953c;0.01830490678548813
