Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data
23_02_14 11:28:14.357;0;O;1;1210;21B5;0;ERR;
23_02_14 11:33:28.834;5133;O;1;1210;21B5;0;ERR;
23_02_14 11:36:02.922;15206;O;1;1210;21B5;0;ERR;
23_02_14 11:37:10.618;20208;O;1;1210;21B5;0;ERR;
23_02_14 11:38:30.268;22459;O;1;1210;21B5;0;ERR;
23_02_14 11:40:03.908;25088;O;1;1210;21B5;0;ERR;
23_02_14 11:41:50.101;27948;O;1;1210;21B5;0;ERR;
23_02_14 11:55:32.170;31352;O;1;1210;21B5;0;ERR;
