Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;msgId
23_02_14 11:48:25.676;0;O;1;1210;1935;2;OK;0621;8454
23_02_14 12:04:52.652;43569;O;1;1210;1935;2;OK;6222;8802
