Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;regular1_data.mag.x;regular1_data.mag.y;regular1_data.mag.z;temperature1;temperature2
23_03_21 11:53:00.243;0;I;1008;808;2903;20;;e7d26cc7b889d0c7c07e9ec3d05408420080f041;-60626.90234375;-106771.4375;-316.990234375;34.08282470703125;30.0625
23_03_21 11:53:00.300;0;I;1008;808;2903;20;;91d36cc75f89d0c7f08a9dc3d05408420080f041;-60627.56640625;-106770.7421875;-315.08544921875;34.08282470703125;30.0625
23_03_21 11:53:00.401;0;I;1008;808;2903;20;;5ad46cc77a88d0c710ff9cc3d05408420080f041;-60628.3515625;-106768.953125;-313.99267578125;34.08282470703125;30.0625
23_03_21 11:53:00.502;0;I;1008;808;2903;20;;b6d46cc73e88d0c7e04f9bc3d05408420080f041;-60628.7109375;-106768.484375;-310.6240234375;34.08282470703125;30.0625
23_03_21 11:53:00.613;0;I;1008;808;2903;20;;01d66cc7dd87d0c7d0c196c3d05408420080f041;-60630.00390625;-106767.7265625;-301.51416015625;34.08282470703125;30.0625
23_03_21 11:53:00.710;0;I;1008;808;2903;20;;05d66cc77e87d0c7f04a93c3d05408420080f041;-60630.01953125;-106766.984375;-294.58544921875;34.08282470703125;30.0625
23_03_21 11:53:00.816;0;I;1008;808;2903;20;;fed56cc79287d0c7c03391c3d05408420080f041;-60629.9921875;-106767.140625;-290.404296875;34.08282470703125;30.0625
23_03_21 11:53:00.916;0;I;1008;808;2903;20;;1dd66cc79d87d0c7006790c3d05408420080f041;-60630.11328125;-106767.2265625;-288.8046875;34.08282470703125;30.0625
23_03_21 11:53:01.015;0;I;1008;808;2903;20;;b8d56cc7a987d0c720ad91c3d05408420080f041;-60629.71875;-106767.3203125;-291.3525390625;34.08282470703125;30.0625
23_03_21 11:53:01.123;0;I;1008;808;2903;20;;f2d56cc7f487d0c7d07e92c3d05408420080f041;-60629.9453125;-106767.90625;-292.99072265625;34.08282470703125;30.0625
23_03_21 11:53:01.226;0;I;1008;808;2903;20;;c3d66cc74988d0c7e0de92c3cc1f03420080f041;-60630.76171875;-106768.5703125;-293.7412109375;32.78105163574219;30.0625
23_03_21 11:53:01.327;0;I;1008;808;2903;20;;86d66cc70c88d0c780be94c3cc1f03420080f041;-60630.5234375;-106768.09375;-297.48828125;32.78105163574219;30.0625
23_03_21 11:53:01.431;0;I;1008;808;2903;20;;7ed56cc73b88d0c7101a96c3cc1f03420080f041;-60629.4921875;-106768.4609375;-300.20361328125;32.78105163574219;30.0625
23_03_21 11:53:01.537;0;I;1008;808;2903;20;;eed46cc7ae88d0c770d896c3cc1f03420080f041;-60628.9296875;-106769.359375;-301.69091796875;32.78105163574219;30.0625
23_03_21 11:53:01.643;0;I;1008;808;2903;20;;9fd56cc7df88d0c7904498c3cc1f03420080f041;-60629.62109375;-106769.7421875;-304.53564453125;32.78105163574219;30.0625
23_03_21 11:53:01.745;0;I;1008;808;2903;20;;71d56cc72a88d0c7c02d98c3cc1f03420080f041;-60629.44140625;-106768.328125;-304.357421875;32.78105163574219;30.0625
23_03_21 11:53:01.841;0;I;1008;808;2903;20;;d2d46cc72b88d0c7e00899c3cc1f03420080f041;-60628.8203125;-106768.3359375;-306.0693359375;32.78105163574219;30.0625
23_03_21 11:53:01.941;0;I;1008;808;2903;20;;d8d26cc77e87d0c7606d99c3cc1f03420080f041;-60626.84375;-106766.984375;-306.8544921875;32.78105163574219;30.0625
23_03_21 11:53:02.040;0;I;1008;808;2903;20;;77ce6cc71687d0c7a08599c3cc1f03420080f041;-60622.46484375;-106766.171875;-307.0439453125;32.78105163574219;30.0625
23_03_21 11:53:02.146;0;I;1008;808;2903;20;;88c96cc7ed86d0c7003898c3cc1f03420080f041;-60617.53125;-106765.8515625;-304.4375;32.78105163574219;30.0625
23_03_21 11:53:02.251;0;I;1008;808;2903;20;;65c56cc79987d0c790d197c38f0707420080f041;-60613.39453125;-106767.1953125;-303.63720703125;33.757381439208984;30.0625
23_03_21 11:53:02.356;0;I;1008;808;2903;20;;a7c26cc73f88d0c7e08c98c38f0707420080f041;-60610.65234375;-106768.4921875;-305.1005859375;33.757381439208984;30.0625
23_03_21 11:53:02.456;0;I;1008;808;2903;20;;68c06cc79587d0c750c498c38f0707420080f041;-60608.40625;-106767.1640625;-305.53369140625;33.757381439208984;30.0625
23_03_21 11:53:02.557;0;I;1008;808;2903;20;;36be6cc7df86d0c7408798c38f0707420080f041;-60606.2109375;-106765.7421875;-305.056640625;33.757381439208984;30.0625
23_03_21 11:53:02.668;0;I;1008;808;2903;20;;4cba6cc78b86d0c720c997c38f0707420080f041;-60602.296875;-106765.0859375;-303.5712890625;33.757381439208984;30.0625
23_03_21 11:53:02.766;0;I;1008;808;2903;20;;ddb76cc7bf86d0c740e397c38f0707420080f041;-60599.86328125;-106765.4921875;-303.775390625;33.757381439208984;30.0625
23_03_21 11:53:02.871;0;I;1008;808;2903;20;;1cb76cc70886d0c7e0f897c38f0707420080f041;-60599.109375;-106764.0625;-303.9443359375;33.757381439208984;30.0625
23_03_21 11:53:02.971;0;I;1008;808;2903;20;;bdb76cc74f86d0c7e0de97c38f0707420080f041;-60599.73828125;-106764.6171875;-303.7412109375;33.757381439208984;30.0625
23_03_21 11:53:03.073;0;I;1008;808;2903;20;;1fb96cc77d86d0c7606994c38f0707420080f041;-60601.12109375;-106764.9765625;-296.8232421875;33.757381439208984;30.0625
23_03_21 11:53:03.173;0;I;1008;808;2903;20;;80ba6cc7f786d0c7201392c38f0707420080f041;-60602.5;-106765.9296875;-292.1494140625;33.757381439208984;30.0625
