Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;angRate
23_03_21 12:06:42.534;0;I;1210;808;2100;4;;d216c33c;0.023814592510461807
23_03_21 12:06:42.620;0;I;1210;808;2100;4;;bc142d3b;0.0026410063728690147
23_03_21 12:06:42.754;0;I;1210;808;2100;4;;63b374bb;-0.0037338368128985167
23_03_21 12:06:42.886;0;I;1210;808;2100;4;;5bf3683d;0.05687270686030388
23_03_21 12:06:43.021;0;I;1210;808;2100;4;;1ef018bc;-0.009334592148661613
23_03_21 12:06:43.151;0;I;1210;808;2100;4;;1ef018bc;-0.009334592148661613
23_03_21 12:06:43.286;0;I;1210;808;2100;4;;66fcbebb;-0.005828428082168102
23_03_21 12:06:43.415;0;I;1210;808;2100;4;;864d03ba;-0.0005008805310353637
23_03_21 12:06:43.546;0;I;1210;808;2100;4;;49f4c4ba;-0.001502641593106091
23_03_21 12:06:43.679;0;I;1210;808;2100;4;;49f4c43a;0.001502641593106091
23_03_21 12:06:43.810;0;I;1210;808;2100;4;;2ceccaba;-0.0015481761656701565
23_03_21 12:06:43.943;0;I;1210;808;2100;4;;e1b1fb3d;0.12289787083864212
23_03_21 12:06:44.075;0;I;1210;808;2100;4;;3035953b;0.004553459584712982
23_03_21 12:06:44.208;0;I;1210;808;2100;4;;ae5608bd;-0.03328578919172287
23_03_21 12:06:44.340;0;I;1210;808;2100;4;;2cec4aba;-0.0007740880828350782
23_03_21 12:06:44.473;0;I;1210;808;2100;4;;8ebfebbb;-0.007194465957581997
23_03_21 12:06:44.604;0;I;1210;808;2100;4;;a00cb3bb;-0.005464151501655579
23_03_21 12:06:44.736;0;I;1210;808;2100;4;;337614bc;-0.00906138401478529
23_03_21 12:06:44.869;0;I;1210;808;2100;4;;7c21c13d;0.09430214762687683
23_03_21 12:06:45.000;0;I;1210;808;2100;4;;2ceccabb;-0.006192704662680626
23_03_21 12:06:45.132;0;I;1210;808;2100;4;;c496abbb;-0.0052364785224199295
