Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;rate
23_03_21 12:07:54.571;0;O;1;1210;21B0;4;ERR;0000c843;400.0
23_03_21 12:08:56.074;112326;O;1;1210;21B0;4;ERR;0000c843;400.0
23_03_21 12:09:20.178;113991;O;1;1210;21B0;4;ERR;0000c843;400.0
23_03_21 12:10:00.307;114646;O;1;1210;21B0;4;ERR;0000c843;400.0
23_03_21 12:10:36.289;115732;O;1;1210;21B0;4;ERR;0000c843;400.0
23_03_21 12:11:15.931;116708;O;1;1210;21B0;4;ERR;0000c843;400.0
23_03_21 12:11:47.649;117782;O;1;1210;21B0;4;ERR;0000c843;400.0
23_03_21 12:12:43.720;118640;O;1;1210;21B0;4;ERR;0000c843;400.0
