Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;torque
23_03_21 12:06:42.562;0;I;1210;808;2101;4;;1b3fc235;1.4472492466666154e-06
23_03_21 12:06:42.688;0;I;1210;808;2101;4;;2a7b9ab5;-1.150973957919632e-06
23_03_21 12:06:42.820;0;I;1210;808;2101;4;;59cc82b5;-9.745227771418286e-07
23_03_21 12:06:42.954;0;I;1210;808;2101;4;;80a857b5;-8.033894118852913e-07
23_03_21 12:06:43.084;0;I;1210;808;2101;4;;347d1ab5;-5.755166512244614e-07
23_03_21 12:06:43.217;0;I;1210;808;2101;4;;b27ad2b4;-3.9204820723170997e-07
23_03_21 12:06:43.351;0;I;1210;808;2101;4;;6e4fae36;5.19485092809191e-06
23_03_21 12:06:43.481;0;I;1210;808;2101;4;;4c5205b3;-3.104132417774963e-08
23_03_21 12:06:43.612;0;I;1210;808;2101;4;;9e55c833;9.328799421837175e-08
23_03_21 12:06:43.747;0;I;1210;808;2101;4;;51fcc6b5;-1.4825583320998703e-06
23_03_21 12:06:43.877;0;I;1210;808;2101;4;;6a820db4;-1.317909266163042e-07
23_03_21 12:06:44.010;0;I;1210;808;2101;4;;477f7434;2.2770574048536218e-07
23_03_21 12:06:44.142;0;I;1210;808;2101;4;;7958b9b5;-1.380932303618465e-06
23_03_21 12:06:44.274;0;I;1210;808;2101;4;;19aeb336;5.35488334207912e-06
23_03_21 12:06:44.407;0;I;1210;808;2101;4;;83768936;4.096714746992802e-06
23_03_21 12:06:44.539;0;I;1210;808;2101;4;;8ef0a5b4;-3.0908671533325105e-07
23_03_21 12:06:44.669;0;I;1210;808;2101;4;;0ae55a36;3.2617849683447275e-06
23_03_21 12:06:44.802;0;I;1210;808;2101;4;;d071dbb4;-4.0874738260754384e-07
23_03_21 12:06:44.934;0;I;1210;808;2101;4;;daf2eeb5;-1.780306092769024e-06
23_03_21 12:06:45.066;0;I;1210;808;2101;4;;44aa5cb4;-2.055103891507315e-07
23_03_21 12:06:45.197;0;I;1210;808;2101;4;;661ecbb3;-9.458453575916792e-08
23_03_21 12:06:45.330;0;I;1210;808;2101;4;;09ca0fb4;-1.339141277867384e-07
23_03_21 12:06:45.465;0;I;1210;808;2101;4;;e00884b4;-2.459337338223122e-07
23_03_21 12:06:45.595;0;I;1210;808;2101;4;;54a2dcb2;-2.5685189086743776e-08
23_03_21 12:06:45.727;0;I;1210;808;2101;4;;ee5ec0b3;-8.957964325873036e-08
23_03_21 12:06:45.860;0;I;1210;808;2101;4;;d494b4b3;-8.408974849771766e-08
23_03_21 12:06:45.993;0;I;1210;808;2101;4;;a74909b4;-1.278591383879757e-07
23_03_21 12:06:46.125;0;I;1210;808;2101;4;;00fd23b4;-1.527259883005172e-07
23_03_21 12:06:46.260;0;I;1210;808;2101;4;;f7f52cb4;-1.6108229772271443e-07
23_03_21 12:06:46.388;0;I;1210;808;2101;4;;2a10a836;5.008671905670781e-06
23_03_21 12:06:46.521;0;I;1210;808;2101;4;;24972e36;2.6015995899797417e-06
23_03_21 12:06:46.653;0;I;1210;808;2101;4;;709361b4;-2.1008395378885325e-07
23_03_21 12:06:46.787;0;I;1210;808;2101;4;;f9e94eb4;-1.9270363793566503e-07
23_03_21 12:06:46.914;0;I;1210;808;2101;4;;c79e3eb4;-1.7752891778854973e-07
23_03_21 12:06:47.045;0;I;1210;808;2101;4;;e2fc5c36;3.2929751796473283e-06
23_03_21 12:06:47.177;0;I;1210;808;2101;4;;6e772736;2.49544564212556e-06
23_03_21 12:06:47.311;0;I;1210;808;2101;4;;841598b6;-4.53245775133837e-06
23_03_21 12:06:47.443;0;I;1210;808;2101;4;;5e7256b4;-1.9971909637206409e-07
23_03_21 12:06:47.575;0;I;1210;808;2101;4;;f0352db4;-1.613150288903853e-07
23_03_21 12:06:47.708;0;I;1210;808;2101;4;;818b3ab4;-1.73733511132923e-07
23_03_21 12:06:47.838;0;I;1210;808;2101;4;;c2d7bfb4;-3.5733506820179173e-07
23_03_21 12:06:47.970;0;I;1210;808;2101;4;;aa60c7b4;-3.7136970831852523e-07
23_03_21 12:06:48.103;0;I;1210;808;2101;4;;7e302536;2.4615142137918156e-06
23_03_21 12:06:48.236;0;I;1210;808;2101;4;;70bd92b4;-2.733245310082566e-07
23_03_21 12:06:48.366;0;I;1210;808;2101;4;;adbd5fb4;-2.0837497061165777e-07
23_03_21 12:06:48.498;0;I;1210;808;2101;4;;6ff49fb4;-2.979390671953297e-07
23_03_21 12:06:48.631;0;I;1210;808;2101;4;;844153b4;-1.9674740769914933e-07
23_03_21 12:06:48.761;0;I;1210;808;2101;4;;3c2e90b4;-2.685573008420761e-07
23_03_21 12:06:48.892;0;I;1210;808;2101;4;;f51632b6;-2.6537429675954627e-06
23_03_21 12:06:49.024;0;I;1210;808;2101;4;;8d97e2b4;-4.2206048078696767e-07
23_03_21 12:06:49.157;0;I;1210;808;2101;4;;2aaeb4b4;-3.3654333719823626e-07
23_03_21 12:06:49.288;0;I;1210;808;2101;4;;cd36d6b4;-3.9900479009702394e-07
23_03_21 12:06:49.419;0;I;1210;808;2101;4;;5e88f4b5;-1.8219104731542757e-06
23_03_21 12:06:49.550;0;I;1210;808;2101;4;;26753ab4;-1.736521824113879e-07
23_03_21 12:06:49.682;0;I;1210;808;2101;4;;f3af77b4;-2.3067677545896004e-07
23_03_21 12:06:49.812;0;I;1210;808;2101;4;;f4f4ebb5;-1.7580155144969467e-06
23_03_21 12:06:49.944;0;I;1210;808;2101;4;;7d6a32b4;-1.661628203919463e-07
23_03_21 12:06:50.075;0;I;1210;808;2101;4;;79be3136;2.6485924990993226e-06
23_03_21 12:06:50.207;0;I;1210;808;2101;4;;0bf5e6b5;-1.7207652263095952e-06
23_03_21 12:06:50.337;0;I;1210;808;2101;4;;a7f591b5;-1.0874836107177543e-06
23_03_21 12:06:50.466;0;I;1210;808;2101;4;;6eb299b4;-2.862829546756984e-07
23_03_21 12:06:50.598;0;I;1210;808;2101;4;;67cf60b4;-2.0937078204497084e-07
23_03_21 12:06:50.729;0;I;1210;808;2101;4;;fbb95bb4;-2.0463623684463528e-07
23_03_21 12:06:50.859;0;I;1210;808;2101;4;;985cb2b4;-3.3222454476344865e-07
23_03_21 12:06:50.990;0;I;1210;808;2101;4;;265d2236;2.4194100660679396e-06
23_03_21 12:06:51.122;0;I;1210;808;2101;4;;37e2e3b4;-4.2446637849025137e-07
23_03_21 12:06:51.253;0;I;1210;808;2101;4;;f4abceb4;-3.8495602439070353e-07
23_03_21 12:06:51.382;0;I;1210;808;2101;4;;f4bb26b7;-9.93813227978535e-06
23_03_21 12:06:51.512;0;I;1210;808;2101;4;;856c19b5;-5.71548582684045e-07
23_03_21 12:06:51.643;0;I;1210;808;2101;4;;edafd0b4;-3.8871021956765617e-07
23_03_21 12:06:51.774;0;I;1210;808;2101;4;;7906bab4;-3.464990925294842e-07
23_03_21 12:06:51.902;0;I;1210;808;2101;4;;c1227ab4;-2.3295707762827078e-07
23_03_21 12:06:52.033;0;I;1210;808;2101;4;;c96605b7;-7.951349289214704e-06
23_03_21 12:06:52.164;0;I;1210;808;2101;4;;860aedb3;-1.1038086711323558e-07
23_03_21 12:06:52.293;0;I;1210;808;2101;4;;fcffe033;1.047737612225319e-07
23_03_21 12:06:52.423;0;I;1210;808;2101;4;;2fd629b4;-1.581727104849051e-07
23_03_21 12:06:52.554;0;I;1210;808;2101;4;;bc125036;3.1005320124677382e-06
23_03_21 12:06:52.686;0;I;1210;808;2101;4;;47118b34;2.590333849639137e-07
23_03_21 12:06:52.815;0;I;1210;808;2101;4;;e7afd232;2.4527208708491344e-08
23_03_21 12:06:52.944;0;I;1210;808;2101;4;;3400b1b6;-5.275034709484316e-06
23_03_21 12:06:53.074;0;I;1210;808;2101;4;;a60df7b3;-1.1504316432819905e-07
23_03_21 12:06:53.206;0;I;1210;808;2101;4;;96c606b4;-1.2551967643048556e-07
23_03_21 12:06:53.334;0;I;1210;808;2101;4;;ec6b34b4;-1.6803068092485773e-07
23_03_21 12:06:53.466;0;I;1210;808;2101;4;;dcb1c2b4;-3.626472562245908e-07
23_03_21 12:06:53.596;0;I;1210;808;2101;4;;a75bb7b4;-3.415309208776307e-07
23_03_21 12:06:53.728;0;I;1210;808;2101;4;;f24bd5b4;-3.9729599166093976e-07
23_03_21 12:06:53.857;0;I;1210;808;2101;4;;b0c02e36;2.604017936391756e-06
23_03_21 12:06:53.987;0;I;1210;808;2101;4;;6900ebb4;-4.377245943487651e-07
23_03_21 12:06:54.118;0;I;1210;808;2101;4;;705cceb4;-3.8437747207353823e-07
23_03_21 12:06:54.249;0;I;1210;808;2101;4;;e4bd2436;2.454843524901662e-06
23_03_21 12:06:54.382;0;I;1210;808;2101;4;;9c6ad936;6.479514922830276e-06
23_03_21 12:06:54.508;0;I;1210;808;2101;4;;824b77b6;-3.6849819480266888e-06
23_03_21 12:06:54.640;0;I;1210;808;2101;4;;f9c56fb6;-3.5729010505747283e-06
23_03_21 12:06:54.771;0;I;1210;808;2101;4;;a7601ab6;-2.300404730704031e-06
23_03_21 12:06:54.899;0;I;1210;808;2101;4;;4691a9b5;-1.2633761343749939e-06
23_03_21 12:06:55.028;0;I;1210;808;2101;4;;f1b9ddb4;-4.1299747977063817e-07
23_03_21 12:06:55.160;0;I;1210;808;2101;4;;968be6b5;-1.7176960227516247e-06
23_03_21 12:06:55.291;0;I;1210;808;2101;4;;7aa009b8;-3.2812800782267004e-05
23_03_21 12:06:55.420;0;I;1210;808;2101;4;;943b6cb5;-8.800354862614768e-07
23_03_21 12:06:55.550;0;I;1210;808;2101;4;;ea849036;4.307007657189388e-06
23_03_21 12:06:55.680;0;I;1210;808;2101;4;;dc06ed36;7.063948942231946e-06
23_03_21 12:06:55.811;0;I;1210;808;2101;4;;affa0736;2.026248466791003e-06
23_03_21 12:06:55.941;0;I;1210;808;2101;4;;9e0d8d35;1.0509281764825573e-06
23_03_21 12:06:56.071;0;I;1210;808;2101;4;;409ef034;4.481862561078742e-07
23_03_21 12:06:56.202;0;I;1210;808;2101;4;;b1415b34;2.0419862778453535e-07
23_03_21 12:06:56.333;0;I;1210;808;2101;4;;cf0202b4;-1.2108215230455244e-07
23_03_21 12:06:56.462;0;I;1210;808;2101;4;;af731cb4;-1.4570717610240536e-07
23_03_21 12:06:56.594;0;I;1210;808;2101;4;;e1ab05b4;-1.2449119424218225e-07
23_03_21 12:06:56.726;0;I;1210;808;2101;4;;a56c68b4;-2.1646208381298493e-07
23_03_21 12:06:56.852;0;I;1210;808;2101;4;;a36311b4;-1.3540424959046504e-07
23_03_21 12:06:56.982;0;I;1210;808;2101;4;;c31993b4;-2.739962781106442e-07
23_03_21 12:06:57.112;0;I;1210;808;2101;4;;b1c1a835;1.2573347021316295e-06
23_03_21 12:06:57.241;0;I;1210;808;2101;4;;23a486b4;-2.507887018055044e-07
23_03_21 12:06:57.371;0;I;1210;808;2101;4;;ad902b36;2.55651980296534e-06
23_03_21 12:06:57.501;0;I;1210;808;2101;4;;9d1e38b6;-2.7435955871624174e-06
23_03_21 12:06:57.631;0;I;1210;808;2101;4;;44cd80b4;-2.3991208308871137e-07
23_03_21 12:06:57.760;0;I;1210;808;2101;4;;36a0a736;4.995638846594375e-06
23_03_21 12:06:57.890;0;I;1210;808;2101;4;;277288b4;-2.5415030791009485e-07
23_03_21 12:06:58.020;0;I;1210;808;2101;4;;ce2083b4;-2.442452000650519e-07
23_03_21 12:06:58.151;0;I;1210;808;2101;4;;c7fa3ab4;-1.7413832154034026e-07
23_03_21 12:06:58.279;0;I;1210;808;2101;4;;bd36fab3;-1.1651489018049688e-07
23_03_21 12:06:58.409;0;I;1210;808;2101;4;;d16f78b4;-2.3137478422086133e-07
23_03_21 12:06:58.539;0;I;1210;808;2101;4;;c94689b4;-2.5569741524122946e-07
23_03_21 12:06:58.668;0;I;1210;808;2101;4;;20c045b4;-1.8416949387756176e-07
23_03_21 12:06:58.799;0;I;1210;808;2101;4;;1bd956b4;-2.0009285606192861e-07
23_03_21 12:06:58.929;0;I;1210;808;2101;4;;dc7d77b4;-2.30494549668947e-07
23_03_21 12:06:59.058;0;I;1210;808;2101;4;;8ad36bb4;-2.196303796608845e-07
23_03_21 12:06:59.189;0;I;1210;808;2101;4;;b891e2b5;-1.6880721886991523e-06
23_03_21 12:06:59.318;0;I;1210;808;2101;4;;c4ab3fb4;-1.7850749145509326e-07
23_03_21 12:06:59.448;0;I;1210;808;2101;4;;788dafb3;-8.174805543603725e-08
23_03_21 12:06:59.578;0;I;1210;808;2101;4;;37c536b4;-1.702181720020235e-07
23_03_21 12:06:59.709;0;I;1210;808;2101;4;;e7237ab4;-2.3296125561955705e-07
23_03_21 12:06:59.837;0;I;1210;808;2101;4;;d3c7a936;5.059855084255105e-06
23_03_21 12:06:59.967;0;I;1210;808;2101;4;;2f2f5fb4;-2.0785658705335663e-07
23_03_21 12:07:00.097;0;I;1210;808;2101;4;;a0675ab4;-2.034053068200592e-07
23_03_21 12:07:00.227;0;I;1210;808;2101;4;;367812b4;-1.364104207368655e-07
23_03_21 12:07:00.357;0;I;1210;808;2101;4;;c2a1cfb4;-3.8674448887832114e-07
23_03_21 12:07:00.487;0;I;1210;808;2101;4;;f3a270b4;-2.241102237121595e-07
23_03_21 12:07:00.616;0;I;1210;808;2101;4;;bf502836;2.5080951218114933e-06
23_03_21 12:07:00.747;0;I;1210;808;2101;4;;f658bcb4;-3.5082456406598794e-07
23_03_21 12:07:00.876;0;I;1210;808;2101;4;;46a7b6b4;-3.4021849160126294e-07
23_03_21 12:07:01.006;0;I;1210;808;2101;4;;efcddeb4;-4.1500558722873393e-07
23_03_21 12:07:01.136;0;I;1210;808;2101;4;;53cdecb4;-4.410781855312962e-07
23_03_21 12:07:01.266;0;I;1210;808;2101;4;;bab6cbb4;-3.794464760176197e-07
23_03_21 12:07:01.396;0;I;1210;808;2101;4;;e5bc9cb4;-2.9194703188295534e-07
23_03_21 12:07:01.527;0;I;1210;808;2101;4;;bf5465b4;-2.135811740799909e-07
23_03_21 12:07:01.657;0;I;1210;808;2101;4;;acc6bab4;-3.4789752589858836e-07
23_03_21 12:07:01.788;0;I;1210;808;2101;4;;7ad535b4;-1.693460092155874e-07
23_03_21 12:07:01.919;0;I;1210;808;2101;4;;3e4840b4;-1.7907674987327482e-07
23_03_21 12:07:02.049;0;I;1210;808;2101;4;;045f13b4;-1.3725008329856792e-07
23_03_21 12:07:02.180;0;I;1210;808;2101;4;;c99cbbb4;-3.494554050575971e-07
23_03_21 12:07:02.312;0;I;1210;808;2101;4;;d68460b4;-2.0909951103931235e-07
23_03_21 12:07:02.440;0;I;1210;808;2101;4;;6a33eab4;-4.362330514595669e-07
23_03_21 12:07:02.571;0;I;1210;808;2101;4;;f1450ab5;-5.151078426024469e-07
