Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;msg_id
23_03_21 12:07:54.580;0;I;1210;1;1920;2;;b021;8624
23_03_21 12:08:56.085;112327;I;1210;1;1920;2;;b021;8624
23_03_21 12:09:20.188;113992;I;1210;1;1920;2;;b021;8624
23_03_21 12:10:00.321;114647;I;1210;1;1920;2;;b021;8624
23_03_21 12:10:36.301;115733;I;1210;1;1920;2;;b021;8624
23_03_21 12:11:15.946;116709;I;1210;1;1920;2;;b021;8624
23_03_21 12:11:47.667;117783;I;1210;1;1920;2;;b021;8624
23_03_21 12:12:43.734;118641;I;1210;1;1920;2;;b021;8624
23_03_21 12:13:01.992;120160;I;1210;1;1920;2;;b521;8629
