Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;torque
23_03_21 11:34:19.819;0;I;1210;808;2101;4;;fe646fb6;-3.567256044334499e-06
23_03_21 11:34:19.934;0;I;1210;808;2101;4;;225a59b6;-3.2387983992521185e-06
23_03_21 11:34:20.064;0;I;1210;808;2101;4;;e1b698b5;-1.1378107274140348e-06
23_03_21 11:34:20.195;0;I;1210;808;2101;4;;129b8e36;4.249982339388225e-06
23_03_21 11:34:20.325;0;I;1210;808;2101;4;;3c779235;1.0912549441854935e-06
23_03_21 11:34:20.457;0;I;1210;808;2101;4;;e1305f35;8.314510182572121e-07
23_03_21 11:34:20.588;0;I;1210;808;2101;4;;e6ee6b36;3.5156785997969564e-06
23_03_21 11:34:20.717;0;I;1210;808;2101;4;;6190db33;1.0224244562095919e-07
23_03_21 11:34:20.847;0;I;1210;808;2101;4;;4d1c5435;7.901733738435723e-07
23_03_21 11:34:20.979;0;I;1210;808;2101;4;;75696736;3.4483066428947495e-06
23_03_21 11:34:21.105;0;I;1210;808;2101;4;;e5a2ac34;3.215601793726819e-07
23_03_21 11:34:21.236;0;I;1210;808;2101;4;;a684a8b3;-7.847238236990961e-08
23_03_21 11:34:21.364;0;I;1210;808;2101;4;;3d2e3e36;2.8339120490272762e-06
23_03_21 11:34:21.493;0;I;1210;808;2101;4;;34c9ddb3;-1.0327713084734569e-07
23_03_21 11:34:21.621;0;I;1210;808;2101;4;;7900bfb4;-3.5576866252995387e-07
23_03_21 11:34:21.749;0;I;1210;808;2101;4;;31e26136;3.365927341292263e-06
23_03_21 11:34:21.878;0;I;1210;808;2101;4;;0bc04934;1.8789448574807466e-07
23_03_21 11:34:22.007;0;I;1210;808;2101;4;;662b0d37;8.414359399466775e-06
23_03_21 11:34:22.136;0;I;1210;808;2101;4;;f98c99b6;-4.576166702463524e-06
23_03_21 11:34:22.266;0;I;1210;808;2101;4;;79999435;1.1071525705119711e-06
23_03_21 11:34:22.396;0;I;1210;808;2101;4;;b7c2dab5;-1.629893517929304e-06
23_03_21 11:34:22.527;0;I;1210;808;2101;4;;4c7183b5;-9.793234312382992e-07
23_03_21 11:34:22.655;0;I;1210;808;2101;4;;f8a61736;2.2597942006541416e-06
23_03_21 11:34:22.784;0;I;1210;808;2101;4;;73b22536;2.4690787086001365e-06
23_03_21 11:34:22.914;0;I;1210;808;2101;4;;c9652736;2.494418595233583e-06
23_03_21 11:34:23.044;0;I;1210;808;2101;4;;155693b5;-1.097740664590674e-06
23_03_21 11:34:23.175;0;I;1210;808;2101;4;;670fe435;1.6991806432997691e-06
