Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;angRate
23_03_21 11:34:19.786;0;I;1210;808;2100;4;;4c9e88bd;-0.06670817732810974
23_03_21 11:34:19.869;0;I;1210;808;2100;4;;f6470d3e;0.13796982169151306
23_03_21 11:34:19.999;0;I;1210;808;2100;4;;5b926fbd;-0.05848918482661247
23_03_21 11:34:20.131;0;I;1210;808;2100;4;;209ac3bd;-0.09550881385803223
23_03_21 11:34:20.260;0;I;1210;808;2100;4;;138e14bd;-0.03626830503344536
23_03_21 11:34:20.391;0;I;1210;808;2100;4;;a00cb33b;0.005464151501655579
23_03_21 11:34:20.523;0;I;1210;808;2100;4;;bcd69f3d;0.0780462920665741
23_03_21 11:34:20.652;0;I;1210;808;2100;4;;ef039c3d;0.0761793777346611
23_03_21 11:34:20.782;0;I;1210;808;2100;4;;1a4ea03d;0.0782739669084549
23_03_21 11:34:20.913;0;I;1210;808;2100;4;;3f4c68bd;-0.05671333894133568
23_03_21 11:34:21.044;0;I;1210;808;2100;4;;3b13343d;0.04396365210413933
23_03_21 11:34:21.171;0;I;1210;808;2100;4;;d2392fbd;-0.04277975112199783
23_03_21 11:34:21.299;0;I;1210;808;2100;4;;29f1a33c;0.02001245506107807
23_03_21 11:34:21.428;0;I;1210;808;2100;4;;6a35733b;0.003711069468408823
23_03_21 11:34:21.555;0;I;1210;808;2100;4;;fe587cbd;-0.06160830706357956
23_03_21 11:34:21.684;0;I;1210;808;2100;4;;10ff71bd;-0.05908113718032837
23_03_21 11:34:21.815;0;I;1210;808;2100;4;;715678bd;-0.060629311949014664
23_03_21 11:34:21.943;0;I;1210;808;2100;4;;5f820b3c;0.008514969609677792
23_03_21 11:34:22.071;0;I;1210;808;2100;4;;ef64153e;0.14589284360408783
23_03_21 11:34:22.201;0;I;1210;808;2100;4;;3202ac3d;0.08398856222629547
23_03_21 11:34:22.330;0;I;1210;808;2100;4;;fa5d55bc;-0.0130228940397501
23_03_21 11:34:22.460;0;I;1210;808;2100;4;;c09b84bc;-0.016187548637390137
23_03_21 11:34:22.590;0;I;1210;808;2100;4;;05db7a3d;0.06124402955174446
23_03_21 11:34:22.719;0;I;1210;808;2100;4;;a7c4733d;0.05951371416449547
23_03_21 11:34:22.850;0;I;1210;808;2100;4;;4bae853d;0.06527384370565414
23_03_21 11:34:22.979;0;I;1210;808;2100;4;;361874be;-0.23837360739707947
23_03_21 11:34:23.110;0;I;1210;808;2100;4;;ae8ccabc;-0.024725284427404404
23_03_21 11:34:23.241;0;I;1210;808;2100;4;;6e76f23b;0.007399371825158596
23_03_21 11:34:23.372;0;I;1210;808;2100;4;;c0179f3c;0.019420504570007324
23_03_21 11:34:23.502;0;I;1210;808;2100;4;;344b5dbd;-0.05402679741382599
23_03_21 11:34:23.633;0;I;1210;808;2100;4;;eb23963c;0.01832767389714718
23_03_21 11:34:23.764;0;I;1210;808;2100;4;;1e6468bd;-0.05673610419034958
23_03_21 11:34:23.896;0;I;1210;808;2100;4;;aa15893c;0.016733963042497635
23_03_21 11:34:24.027;0;I;1210;808;2100;4;;aa5396bd;-0.07340176403522491
23_03_21 11:34:24.156;0;I;1210;808;2100;4;;0862d23b;0.006420377641916275
23_03_21 11:34:24.288;0;I;1210;808;2100;4;;a34d323c;0.010882767848670483
