Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;rate
23_03_21 11:53:16.612;0;O;1;1210;21B0;4;ERR;0000c843;400.0
23_03_21 11:55:48.707;89615;O;1;1210;21B0;4;ERR;0000c843;400.0
23_03_21 11:56:15.770;93733;O;1;1210;21B0;4;ERR;0000c843;400.0
23_03_21 11:56:58.121;94467;O;1;1210;21B0;4;ERR;0000c843;400.0
23_03_21 11:57:37.233;95613;O;1;1210;21B0;4;ERR;0000c843;400.0
23_03_21 11:58:13.506;96675;O;1;1210;21B0;4;ERR;0000c843;400.0
23_03_21 11:58:38.570;97657;O;1;1210;21B0;4;ERR;0000c843;400.0
