Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;angRate
23_03_21 11:53:00.242;0;I;1210;808;2100;4;;c078183d;0.037224531173706055
23_03_21 11:53:00.299;0;I;1210;808;2100;4;;7b8a053d;0.03260276839137077
23_03_21 11:53:00.429;0;I;1210;808;2100;4;;f609003d;0.03125949949026108
23_03_21 11:53:00.559;0;I;1210;808;2100;4;;8ebfeb3c;0.028777863830327988
23_03_21 11:53:00.687;0;I;1210;808;2100;4;;8a40df3c;0.027252454310655594
23_03_21 11:53:00.817;0;I;1210;808;2100;4;;830c043d;0.032238494604825974
23_03_21 11:53:00.946;0;I;1210;808;2100;4;;3ef339bd;-0.04539798945188522
23_03_21 11:53:01.076;0;I;1210;808;2100;4;;1b23e93c;0.02845912240445614
23_03_21 11:53:01.204;0;I;1210;808;2100;4;;fd68923c;0.01787232793867588
23_03_21 11:53:01.333;0;I;1210;808;2100;4;;ae08e53c;0.02795824036002159
23_03_21 11:53:01.465;0;I;1210;808;2100;4;;1720f73c;0.030166668817400932
23_03_21 11:53:01.591;0;I;1210;808;2100;4;;83fced3c;0.029051071032881737
23_03_21 11:53:01.720;0;I;1210;808;2100;4;;5f9d2cbd;-0.042142268270254135
23_03_21 11:53:01.849;0;I;1210;808;2100;4;;42f62bbd;-0.041982896625995636
23_03_21 11:53:01.977;0;I;1210;808;2100;4;;83ab0a3d;0.03385497257113457
23_03_21 11:53:02.108;0;I;1210;808;2100;4;;33151bbd;-0.03786201402544975
23_03_21 11:53:02.236;0;I;1210;808;2100;4;;7b6799bd;-0.07490440458059311
23_03_21 11:53:02.367;0;I;1210;808;2100;4;;ef9ad73c;0.026318995282053947
23_03_21 11:53:02.496;0;I;1210;808;2100;4;;d657c23c;0.023723524063825607
23_03_21 11:53:02.626;0;I;1210;808;2100;4;;fda69fbd;-0.0779552236199379
23_03_21 11:53:02.753;0;I;1210;808;2100;4;;c4cced3c;0.029028303921222687
23_03_21 11:53:02.883;0;I;1210;808;2100;4;;a52294bd;-0.07233170419931412
23_03_21 11:53:03.013;0;I;1210;808;2100;4;;aca492bd;-0.07160314917564392
23_03_21 11:53:03.142;0;I;1210;808;2100;4;;4bec92bd;-0.07173975557088852
23_03_21 11:53:03.271;0;I;1210;808;2100;4;;75bae33c;0.02779887057840824
23_03_21 11:53:03.401;0;I;1210;808;2100;4;;b98dd53c;0.02606855519115925
23_03_21 11:53:03.531;0;I;1210;808;2100;4;;961e97bd;-0.07378880679607391
23_03_21 11:53:03.662;0;I;1210;808;2100;4;;0e9b9fbd;-0.0779324620962143
23_03_21 11:53:03.789;0;I;1210;808;2100;4;;ec97e53c;0.02802654355764389
23_03_21 11:53:03.919;0;I;1210;808;2100;4;;3baaef3c;0.029255976900458336
23_03_21 11:53:04.052;0;I;1210;808;2100;4;;ecd5f23c;0.029643021523952484
23_03_21 11:53:04.178;0;I;1210;808;2100;4;;22e374bd;-0.059786923229694366
23_03_21 11:53:04.307;0;I;1210;808;2100;4;;04ad033d;0.032147422432899475
23_03_21 11:53:04.438;0;I;1210;808;2100;4;;0a1c93bd;-0.07183082401752472
23_03_21 11:53:04.567;0;I;1210;808;2100;4;;e0c191bd;-0.07117056846618652
23_03_21 11:53:04.697;0;I;1210;808;2100;4;;132d9bb9;-0.00029597486718557775
23_03_21 11:53:04.825;0;I;1210;808;2100;4;;d93748bd;-0.04888138547539711
23_03_21 11:53:04.956;0;I;1210;808;2100;4;;7cfed43c;0.0260002538561821
23_03_21 11:53:05.087;0;I;1210;808;2100;4;;5f72f5bb;-0.007490440737456083
23_03_21 11:53:05.214;0;I;1210;808;2100;4;;ca37643e;0.22286906838417053
23_03_21 11:53:05.345;0;I;1210;808;2100;4;;dfc9c3bd;-0.09559988230466843
23_03_21 11:53:05.473;0;I;1210;808;2100;4;;22e3f4bc;-0.029893461614847183
