Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;msg_id
23_03_21 11:53:16.620;0;I;1210;1;1920;2;;b021;8624
23_03_21 11:55:48.715;89616;I;1210;1;1920;2;;b021;8624
23_03_21 11:56:15.780;93734;I;1210;1;1920;2;;b021;8624
23_03_21 11:56:58.132;94468;I;1210;1;1920;2;;b021;8624
23_03_21 11:57:37.246;95614;I;1210;1;1920;2;;b021;8624
23_03_21 11:58:13.520;96676;I;1210;1;1920;2;;b021;8624
23_03_21 11:58:38.600;97658;I;1210;1;1920;2;;b021;8624
23_03_21 11:58:56.047;98338;I;1210;1;1920;2;;b521;8629
