Date and Time ISO;Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;msgId;freq
2023-05-02 12:10:03.275;23_05_02 12:10:03.275;0;O;1;CF0;1934;3;OK;a42203;8868;3
2023-05-02 12:34:21.236;23_05_02 12:34:21.236;449;O;1;CF0;1934;3;OK;a42203;8868;3
