Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;torque
23_02_14 11:25:52.181;669;I;1220;808;2101;4;;63232634;1.5472828351903445e-07
23_02_14 11:25:52.316;673;I;1220;808;2101;4;;1a5a9f32;1.8551009617340242e-08
23_02_14 11:25:52.440;677;I;1220;808;2101;4;;daf96634;2.151131468508538e-07
23_02_14 11:25:52.571;681;I;1220;808;2101;4;;63a379b5;-9.299748739977076e-07
23_02_14 11:25:52.709;685;I;1220;808;2101;4;;3647a8b5;-1.2537700513348682e-06
23_02_14 11:25:52.869;689;I;1220;808;2101;4;;d022aeb5;-1.2974142009625211e-06
23_02_14 11:25:52.967;693;I;1220;808;2101;4;;09c6cf36;6.192135060700821e-06
23_02_14 11:25:53.120;697;I;1220;808;2101;4;;ac3eddb5;-1.6484023035445716e-06
23_02_14 11:25:53.245;701;I;1220;808;2101;4;;80d8a0b5;-1.1983938748016953e-06
23_02_14 11:25:53.368;705;I;1220;808;2101;4;;43af99b5;-1.1450396186774014e-06
23_02_14 11:25:53.501;709;I;1220;808;2101;4;;e9a896b5;-1.1225030220884946e-06
23_02_14 11:25:53.610;713;I;1220;808;2101;4;;54b354b5;-7.923711109469878e-07
23_02_14 11:25:53.760;717;I;1220;808;2101;4;;68d886b5;-1.0046760507975705e-06
23_02_14 11:25:53.895;721;I;1220;808;2101;4;;bb9f82b5;-9.732242460813723e-07
23_02_14 11:25:54.034;725;I;1220;808;2101;4;;090829b5;-6.296909873526602e-07
23_02_14 11:25:54.141;729;I;1220;808;2101;4;;bda5bbb4;-3.495205476156116e-07
23_02_14 11:25:54.279;733;I;1220;808;2101;4;;5a1345b5;-7.341637910940335e-07
23_02_14 11:25:54.391;737;I;1220;808;2101;4;;6d2087b5;-1.006772095024644e-06
23_02_14 11:25:54.522;741;I;1220;808;2101;4;;4e10c8b5;-1.4905906482454157e-06
23_02_14 11:25:54.651;745;I;1220;808;2101;4;;bbf50bb6;-2.0855648017459316e-06
23_02_14 11:25:54.804;749;I;1220;808;2101;4;;4999b836;5.501472060132073e-06
23_02_14 11:25:54.913;753;I;1220;808;2101;4;;8448e3b5;-1.693392277957173e-06
23_02_14 11:25:55.064;757;I;1220;808;2101;4;;c7d4efb5;-1.786881398402329e-06
23_02_14 11:25:55.185;761;I;1220;808;2101;4;;9e3ab336;5.341439646144863e-06
23_02_14 11:25:55.313;765;I;1220;808;2101;4;;58e7c3b5;-1.4595962056773715e-06
23_02_14 11:25:55.434;769;I;1220;808;2101;4;;a186e3b5;-1.6952000123637845e-06
