Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;pid;p;i;d
23_02_14 12:04:13.081;0;I;1210;1;2262;13;;000ad7233c0ad7233c00000000;0;0.009999999776482582;0.009999999776482582;0.0
23_02_14 12:05:00.261;88243;I;1210;1;2262;13;;01000000400000c04000000000;1;2.0;6.0;0.0
23_02_14 12:05:12.912;90449;I;1210;1;2262;13;;02000000000000c84200000000;2;0.0;100.0;0.0
23_02_14 12:05:41.146;91041;I;1210;1;2262;13;;03000000000000c84200000000;3;0.0;100.0;0.0
23_02_14 12:05:59.231;92360;I;1210;1;2262;13;;000ad7233c0ad7233c00000000;0;0.009999999776482582;0.009999999776482582;0.0
23_02_14 12:13:36.434;93206;I;1210;1;2262;13;;000ad7233ccdcccc3dcdcccc3d;0;0.009999999776482582;0.10000000149011612;0.10000000149011612
23_02_14 12:17:35.305;114888;I;1210;1;2262;13;;000ad7233c0ad7233c00000000;0;0.009999999776482582;0.009999999776482582;0.0
