Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;torque
23_02_14 11:25:52.344;674;I;1210;808;2101;4;;f1690db6;-2.1072303297842154e-06
23_02_14 11:25:52.453;678;I;1210;808;2101;4;;d387a635;1.2407493841237738e-06
23_02_14 11:25:52.593;682;I;1210;808;2101;4;;74e71436;2.2188442017068155e-06
23_02_14 11:25:52.759;686;I;1210;808;2101;4;;54f11536;2.2343201635521837e-06
23_02_14 11:25:52.870;690;I;1210;808;2101;4;;5ddec0b5;-1.436983097846678e-06
23_02_14 11:25:53.005;694;I;1210;808;2101;4;;24461736;2.2541580619872548e-06
23_02_14 11:25:53.121;698;I;1210;808;2101;4;;09f54eb4;-1.9274388307621848e-07
23_02_14 11:25:53.246;702;I;1210;808;2101;4;;359a8a32;1.6135439651066008e-08
23_02_14 11:25:53.404;706;I;1210;808;2101;4;;788031b3;-4.1327865574203315e-08
23_02_14 11:25:53.518;710;I;1210;808;2101;4;;6ec74e36;3.081247541558696e-06
23_02_14 11:25:53.642;714;I;1210;808;2101;4;;7bd57d35;9.456049951950263e-07
23_02_14 11:25:53.799;718;I;1210;808;2101;4;;39784cb6;-3.0468347631540382e-06
23_02_14 11:25:53.931;722;I;1210;808;2101;4;;07507cb3;-5.874610664591273e-08
23_02_14 11:25:54.036;726;I;1210;808;2101;4;;50bd43b6;-2.9167458706069738e-06
23_02_14 11:25:54.191;730;I;1210;808;2101;4;;88ba7cb5;-9.414875421498436e-07
23_02_14 11:25:54.301;734;I;1210;808;2101;4;;3baf3636;2.7222110929869814e-06
23_02_14 11:25:54.431;738;I;1210;808;2101;4;;0aa83936;2.7664959816320334e-06
23_02_14 11:25:54.562;742;I;1210;808;2101;4;;ecdfd935;1.6232929738180246e-06
23_02_14 11:25:54.693;746;I;1210;808;2101;4;;18422d36;2.581748049124144e-06
23_02_14 11:25:54.859;750;I;1210;808;2101;4;;7c8d3e36;2.8394561013556086e-06
23_02_14 11:25:54.955;754;I;1210;808;2101;4;;e88b3236;2.6605503080645576e-06
23_02_14 11:25:55.110;758;I;1210;808;2101;4;;3be63736;2.7403136755310697e-06
23_02_14 11:25:55.219;762;I;1210;808;2101;4;;6fe397b5;-1.1316568588881637e-06
23_02_14 11:25:55.351;766;I;1210;808;2101;4;;32a585b6;-3.982940143032465e-06
23_02_14 11:25:55.482;770;I;1210;808;2101;4;;d1fb3d36;2.830977109624655e-06
23_02_14 11:25:55.621;774;I;1210;808;2101;4;;ea4524b5;-6.119649924585246e-07
23_02_14 11:25:55.772;778;I;1210;808;2101;4;;12ce4db4;-1.9167080722581886e-07
23_02_14 11:25:55.871;782;I;1210;808;2101;4;;39047735;9.202081514558813e-07
23_02_14 11:25:56.002;786;I;1210;808;2101;4;;bda8bc35;1.4056200825507403e-06
23_02_14 11:25:56.158;790;I;1210;808;2101;4;;c4bdefb4;-4.4655291731032776e-07
23_02_14 11:25:56.278;794;I;1210;808;2101;4;;1bff8cb6;-4.202023319521686e-06
23_02_14 11:25:56.393;798;I;1210;808;2101;4;;dc511ab5;-5.748859166487819e-07
23_02_14 11:25:56.533;802;I;1210;808;2101;4;;4f8c03b4;-1.2251369696514303e-07
23_02_14 11:25:56.659;806;I;1210;808;2101;4;;50db5eb6;-3.3208234526682645e-06
23_02_14 11:25:56.799;810;I;1210;808;2101;4;;c73c3b36;2.790054850265733e-06
23_02_14 11:25:56.915;814;I;1210;808;2101;4;;ca7e3336;2.674687948456267e-06
23_02_14 11:25:57.044;818;I;1210;808;2101;4;;75403a36;2.775367875074153e-06
23_02_14 11:25:57.195;822;I;1210;808;2101;4;;49182b36;2.54951214628818e-06
23_02_14 11:25:57.309;826;I;1210;808;2101;4;;d0992e36;2.601755113573745e-06
23_02_14 11:25:57.435;830;I;1210;808;2101;4;;cbac3736;2.7369703730073525e-06
23_02_14 11:25:57.567;834;I;1210;808;2101;4;;44903736;2.7353098630555905e-06
23_02_14 11:25:57.695;838;I;1210;808;2101;4;;4fcb00b3;-2.998723047653584e-08
23_02_14 11:25:57.853;842;I;1210;808;2101;4;;bed02736;2.500644313840894e-06
23_02_14 11:25:57.967;846;I;1210;808;2101;4;;45ed6db6;-3.545386107361992e-06
23_02_14 11:25:58.117;850;I;1210;808;2101;4;;ea5d6fb6;-3.566844043234596e-06
23_02_14 11:25:58.246;854;I;1210;808;2101;4;;50279e35;1.1783358786487952e-06
23_02_14 11:25:58.342;858;I;1210;808;2101;4;;cc0753b6;-3.14459884975804e-06
23_02_14 11:25:58.470;862;I;1210;808;2101;4;;faba74b6;-3.646766799647594e-06
23_02_14 11:25:58.623;866;I;1210;808;2101;4;;91d73536;2.7096577923657605e-06
23_02_14 11:25:58.749;870;I;1210;808;2101;4;;20cbadb5;-1.2948621588293463e-06
23_02_14 11:25:58.885;874;I;1210;808;2101;4;;5f903036;2.631007873787894e-06
23_02_14 11:25:58.994;878;I;1210;808;2101;4;;6987acb5;-1.2854408169005183e-06
23_02_14 11:25:59.127;882;I;1210;808;2101;4;;fe032a36;2.5334297788504045e-06
23_02_14 11:25:59.271;886;I;1210;808;2101;4;;d00786b6;-3.994420694652945e-06
23_02_14 11:25:59.374;890;I;1210;808;2101;4;;bf0284b6;-3.9342262425634544e-06
23_02_14 11:25:59.502;894;I;1210;808;2101;4;;58e52f36;2.621052772155963e-06
23_02_14 11:25:59.640;898;I;1210;808;2101;4;;294d0736;2.0161480733804638e-06
23_02_14 11:25:59.765;902;I;1210;808;2101;4;;bdac03b6;-1.962106807695818e-06
23_02_14 11:25:59.894;906;I;1210;808;2101;4;;0138efb5;-1.7823186908572097e-06
23_02_14 11:26:00.020;910;I;1210;808;2101;4;;7702e2b5;-1.6839029512993875e-06
23_02_14 11:26:00.171;914;I;1210;808;2101;4;;d233de35;1.6555370621063048e-06
