Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;pid
23_02_14 12:04:13.078;0;O;1;1210;22B1;1;ERR;00;0
23_02_14 12:05:00.245;88242;O;1;1210;22B1;1;ERR;01;1
23_02_14 12:05:12.895;90448;O;1;1210;22B1;1;ERR;02;2
23_02_14 12:05:41.142;91040;O;1;1210;22B1;1;ERR;03;3
23_02_14 12:05:59.213;92359;O;1;1210;22B1;1;ERR;00;0
23_02_14 12:13:36.417;93205;O;1;1210;22B1;1;ERR;00;0
23_02_14 12:17:35.290;114887;O;1;1210;22B1;1;ERR;00;0
