Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;regular1_data.mag.x;regular1_data.mag.y;regular1_data.mag.z;temperature1;temperature2
23_03_21 12:25:30.094;0;I;1008;808;2903;20;;c1607dc645ed21c6c9bf75c712a209420000fd41;-16216.1884765625;-10363.3173828125;-62911.78515625;34.40827178955078;31.625
23_03_21 12:25:30.163;0;I;1008;808;2903;20;;666c7dc650f021c651bf75c712a209420000fd41;-16219.099609375;-10364.078125;-62911.31640625;34.40827178955078;31.625
23_03_21 12:25:30.262;0;I;1008;808;2903;20;;66757dc667f121c689bf75c712a209420000fd41;-16221.349609375;-10364.3505859375;-62911.53515625;34.40827178955078;31.625
23_03_21 12:25:30.373;0;I;1008;808;2903;20;;b4787dc63ced21c61cbc75c712a209420000fd41;-16222.17578125;-10363.30859375;-62908.109375;34.40827178955078;31.625
23_03_21 12:25:30.475;0;I;1008;808;2903;20;;787b7dc698ee21c6f9be75c712a209420000fd41;-16222.8671875;-10363.6484375;-62910.97265625;34.40827178955078;31.625
23_03_21 12:25:30.573;0;I;1008;808;2903;20;;27787dc6c0ef21c62ec075c712a209420000fd41;-16222.0380859375;-10363.9375;-62912.1796875;34.40827178955078;31.625
23_03_21 12:25:30.672;0;I;1008;808;2903;20;;04787dc695ed21c68bbd75c712a209420000fd41;-16222.00390625;-10363.3955078125;-62909.54296875;34.40827178955078;31.625
23_03_21 12:25:30.777;0;I;1008;808;2903;20;;487b7dc617ee21c66dbc75c712a209420000fd41;-16222.8203125;-10363.5224609375;-62908.42578125;34.40827178955078;31.625
23_03_21 12:25:30.877;0;I;1008;808;2903;20;;277f7dc64aeb21c6fbb675c712a209420000fd41;-16223.7880859375;-10362.822265625;-62902.98046875;34.40827178955078;31.625
23_03_21 12:25:30.977;0;I;1008;808;2903;20;;cd817dc61ae821c6dcb375c712a209420000fd41;-16224.4501953125;-10362.025390625;-62899.859375;34.40827178955078;31.625
23_03_21 12:25:31.077;0;I;1008;808;2903;20;;57857dc6fee521c64ab275c712a209420000fd41;-16225.3349609375;-10361.498046875;-62898.2890625;34.40827178955078;31.625
23_03_21 12:25:31.193;0;I;1008;808;2903;20;;718a7dc6cde521c690b275c7943c0c420000fd41;-16226.6103515625;-10361.4501953125;-62898.5625;35.05915832519531;31.625
23_03_21 12:25:31.292;0;I;1008;808;2903;20;;888d7dc65ee421c631b375c7943c0c420000fd41;-16227.3828125;-10361.091796875;-62899.19140625;35.05915832519531;31.625
23_03_21 12:25:31.399;0;I;1008;808;2903;20;;488f7dc67cdd21c65dae75c7943c0c420000fd41;-16227.8203125;-10359.37109375;-62894.36328125;35.05915832519531;31.625
23_03_21 12:25:31.502;0;I;1008;808;2903;20;;5a8d7dc607df21c652ad75c7943c0c420000fd41;-16227.337890625;-10359.7568359375;-62893.3203125;35.05915832519531;31.625
23_03_21 12:25:31.606;0;I;1008;808;2903;20;;778c7dc686e021c6adac75c7943c0c420000fd41;-16227.1162109375;-10360.130859375;-62892.67578125;35.05915832519531;31.625
23_03_21 12:25:31.707;0;I;1008;808;2903;20;;0a907dc6a0e221c649ab75c7943c0c420000fd41;-16228.009765625;-10360.65625;-62891.28515625;35.05915832519531;31.625
23_03_21 12:25:31.807;0;I;1008;808;2903;20;;2d967dc6e5e421c645ad75c7943c0c420000fd41;-16229.5439453125;-10361.2236328125;-62893.26953125;35.05915832519531;31.625
23_03_21 12:25:31.908;0;I;1008;808;2903;20;;f5997dc6d4e521c65fab75c7943c0c420000fd41;-16230.4892578125;-10361.45703125;-62891.37109375;35.05915832519531;31.625
23_03_21 12:25:32.020;0;I;1008;808;2903;20;;389a7dc614e321c6abae75c7943c0c420000fd41;-16230.5546875;-10360.76953125;-62894.66796875;35.05915832519531;31.625
23_03_21 12:25:32.128;0;I;1008;808;2903;20;;79967dc6fee121c606b375c7943c0c420000fd41;-16229.6181640625;-10360.498046875;-62899.0234375;35.05915832519531;31.625
23_03_21 12:25:32.232;0;I;1008;808;2903;20;;15967dc6ace421c6beb675c7d5890d420000fd41;-16229.5205078125;-10361.16796875;-62902.7421875;35.38460159301758;31.625
23_03_21 12:25:32.332;0;I;1008;808;2903;20;;eb937dc617e421c6aab575c7d5890d420000fd41;-16228.9794921875;-10361.0224609375;-62901.6640625;35.38460159301758;31.625
23_03_21 12:25:32.434;0;I;1008;808;2903;20;;77927dc651e121c6e2b275c7d5890d420000fd41;-16228.6162109375;-10360.3291015625;-62898.8828125;35.38460159301758;31.625
23_03_21 12:25:32.539;0;I;1008;808;2903;20;;47917dc648e321c644b175c7d5890d420000fd41;-16228.3193359375;-10360.8203125;-62897.265625;35.38460159301758;31.625
23_03_21 12:25:32.637;0;I;1008;808;2903;20;;43947dc69ee421c608b175c7d5890d420000fd41;-16229.0654296875;-10361.154296875;-62897.03125;35.38460159301758;31.625
23_03_21 12:25:32.742;0;I;1008;808;2903;20;;36977dc62fe421c618b175c7d5890d420000fd41;-16229.802734375;-10361.0458984375;-62897.09375;35.38460159301758;31.625
23_03_21 12:25:32.847;0;I;1008;808;2903;20;;fb997dc68ae721c6efb075c7d5890d420000fd41;-16230.4951171875;-10361.884765625;-62896.93359375;35.38460159301758;31.625
23_03_21 12:25:32.954;0;I;1008;808;2903;20;;f8997dc6cee921c637b075c7d5890d420000fd41;-16230.4921875;-10362.451171875;-62896.21484375;35.38460159301758;31.625
23_03_21 12:25:33.054;0;I;1008;808;2903;20;;9b977dc6c8e521c6cfad75c7d5890d420000fd41;-16229.9013671875;-10361.4453125;-62893.80859375;35.38460159301758;31.625
23_03_21 12:25:33.152;0;I;1008;808;2903;20;;78947dc680e621c6a5ac75c7d5890d420000fd41;-16229.1171875;-10361.625;-62892.64453125;35.38460159301758;31.625
23_03_21 12:25:33.252;0;I;1008;808;2903;20;;ba947dc622e621c630ac75c7d5890d420000fd41;-16229.181640625;-10361.533203125;-62892.1875;35.38460159301758;31.625
23_03_21 12:25:33.353;0;I;1008;808;2903;20;;3a967dc633e821c6baaa75c7d5890d420000fd41;-16229.556640625;-10362.0498046875;-62890.7265625;35.38460159301758;31.625
23_03_21 12:25:33.453;0;I;1008;808;2903;20;;5a977dc68ee721c68ea475c7d5890d420000fd41;-16229.837890625;-10361.888671875;-62884.5546875;35.38460159301758;31.625
23_03_21 12:25:33.555;0;I;1008;808;2903;20;;f89a7dc673e621c69aa675c7d5890d420000fd41;-16230.7421875;-10361.6123046875;-62886.6015625;35.38460159301758;31.625
23_03_21 12:25:33.652;0;I;1008;808;2903;20;;5d9f7dc6cee421c668a875c7d5890d420000fd41;-16231.8408203125;-10361.201171875;-62888.40625;35.38460159301758;31.625
23_03_21 12:25:33.758;0;I;1008;808;2903;20;;ba9f7dc683e321c6b0a475c7d5890d420000fd41;-16231.931640625;-10360.8779296875;-62884.6875;35.38460159301758;31.625
23_03_21 12:25:33.857;0;I;1008;808;2903;20;;bc9f7dc6abe721c6d2a975c7d5890d420000fd41;-16231.93359375;-10361.9169921875;-62889.8203125;35.38460159301758;31.625
23_03_21 12:25:33.959;0;I;1008;808;2903;20;;649f7dc61ae821c6a6b175c7d5890d420000fd41;-16231.84765625;-10362.025390625;-62897.6484375;35.38460159301758;31.625
23_03_21 12:25:34.064;0;I;1008;808;2903;20;;fa9c7dc642eb21c6c0b475c7d5890d420000fd41;-16231.244140625;-10362.814453125;-62900.75;35.38460159301758;31.625
23_03_21 12:25:34.162;0;I;1008;808;2903;20;;479b7dc6d4eb21c65ab275c7d5890d420000fd41;-16230.8193359375;-10362.95703125;-62898.3515625;35.38460159301758;31.625
23_03_21 12:25:34.267;0;I;1008;808;2903;20;;929d7dc6aaef21c6ecb375c7d5890d420000fd41;-16231.392578125;-10363.916015625;-62899.921875;35.38460159301758;31.625
23_03_21 12:25:34.367;0;I;1008;808;2903;20;;f09e7dc6a6f121c6debc75c7d5890d420000fd41;-16231.734375;-10364.412109375;-62908.8671875;35.38460159301758;31.625
23_03_21 12:25:34.468;0;I;1008;808;2903;20;;4da17dc6dcee21c61cc175c7d5890d420000fd41;-16232.3251953125;-10363.71484375;-62913.109375;35.38460159301758;31.625
23_03_21 12:25:34.569;0;I;1008;808;2903;20;;93a37dc6cdf121c616c175c7d5890d420000fd41;-16232.8935546875;-10364.4501953125;-62913.0859375;35.38460159301758;31.625
