Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;regular1_data.mag.x;regular1_data.mag.y;regular1_data.mag.z;temperature1;temperature2
23_03_21 11:24:28.800;0;I;1008;808;2903;20;;cad3344713909ac795b4a9c64eba05420000eb41;46291.7890625;-79136.1484375;-21722.291015625;33.43193817138672;29.375
23_03_21 11:24:28.900;45355;I;1008;808;2903;20;;20d534478a919ac771bca9c64eba05420000eb41;46293.125;-79139.078125;-21726.220703125;33.43193817138672;29.375
23_03_21 11:24:29.001;45357;I;1008;808;2903;20;;13d734471a939ac721c6a9c64eba05420000eb41;46295.07421875;-79142.203125;-21731.064453125;33.43193817138672;29.375
23_03_21 11:24:29.105;45360;I;1008;808;2903;20;;8dda34471c949ac788cba9c64eba05420000eb41;46298.55078125;-79144.21875;-21733.765625;33.43193817138672;29.375
23_03_21 11:24:29.220;45363;I;1008;808;2903;20;;19dd34472d949ac7c0bfa9c68f0707420000eb41;46301.09765625;-79144.3515625;-21727.875;33.757381439208984;29.375
23_03_21 11:24:29.309;45365;I;1008;808;2903;20;;78de344717949ac765bda9c68f0707420000eb41;46302.46875;-79144.1796875;-21726.697265625;33.757381439208984;29.375
23_03_21 11:24:29.409;45368;I;1008;808;2903;20;;c2df344741949ac75ac5a9c68f0707420000eb41;46303.7578125;-79144.5078125;-21730.67578125;33.757381439208984;29.375
23_03_21 11:24:29.514;45370;I;1008;808;2903;20;;b8e0344746949ac716c8a9c68f0707420000eb41;46304.71875;-79144.546875;-21732.04296875;33.757381439208984;29.375
23_03_21 11:24:29.621;45373;I;1008;808;2903;20;;41e034470f949ac797c1a9c68f0707420000eb41;46304.25390625;-79144.1171875;-21728.794921875;33.757381439208984;29.375
23_03_21 11:24:29.730;45375;I;1008;808;2903;20;;38e0344791939ac700bfa9c68f0707420000eb41;46304.21875;-79143.1328125;-21727.5;33.757381439208984;29.375
23_03_21 11:24:29.830;45378;I;1008;808;2903;20;;48e0344793939ac7f9c5a9c68f0707420000eb41;46304.28125;-79143.1484375;-21730.986328125;33.757381439208984;29.375
23_03_21 11:24:29.931;45381;I;1008;808;2903;20;;73e03447ae939ac7ffc7a9c68f0707420000eb41;46304.44921875;-79143.359375;-21731.998046875;33.757381439208984;29.375
23_03_21 11:24:30.035;45383;I;1008;808;2903;20;;82e1344753939ac7d0c0a9c68f0707420000eb41;46305.5078125;-79142.6484375;-21728.40625;33.757381439208984;29.375
23_03_21 11:24:30.140;45386;I;1008;808;2903;20;;fde1344702939ac7b2b6a9c68f0707420000eb41;46305.98828125;-79142.015625;-21723.34765625;33.757381439208984;29.375
23_03_21 11:24:30.240;45389;I;1008;808;2903;20;;5de234477e929ac7c0aea9c64eba05420000eb41;46306.36328125;-79140.984375;-21719.375;33.43193817138672;29.375
23_03_21 11:24:30.350;45391;I;1008;808;2903;20;;e3e2344740929ac711a7a9c64eba05420000eb41;46306.88671875;-79140.5;-21715.533203125;33.43193817138672;29.375
23_03_21 11:24:30.454;45394;I;1008;808;2903;20;;04e2344711929ac763a1a9c64eba05420000eb41;46306.015625;-79140.1328125;-21712.693359375;33.43193817138672;29.375
23_03_21 11:24:30.555;45396;I;1008;808;2903;20;;27e1344718929ac7a49ea9c64eba05420000eb41;46305.15234375;-79140.1875;-21711.3203125;33.43193817138672;29.375
23_03_21 11:24:30.654;45399;I;1008;808;2903;20;;57e0344782929ac7d69ca9c64eba05420000eb41;46304.33984375;-79141.015625;-21710.41796875;33.43193817138672;29.375
23_03_21 11:24:30.755;45401;I;1008;808;2903;20;;f4e0344704939ac7f297a9c64eba05420000eb41;46304.953125;-79142.03125;-21707.97265625;33.43193817138672;29.375
23_03_21 11:24:30.950;45404;I;1008;808;2903;20;;c5e1344771939ac70098a9c64eba05420000eb41;46305.76953125;-79142.8828125;-21708.0;33.43193817138672;29.375
23_03_21 11:24:31.004;45407;I;1008;808;2903;20;;93e1344773939ac7249fa9c64eba05420000eb41;46305.57421875;-79142.8984375;-21711.5703125;33.43193817138672;29.375
23_03_21 11:24:31.065;45409;I;1008;808;2903;20;;35e234476e939ac720a2a9c64eba05420000eb41;46306.20703125;-79142.859375;-21713.0625;33.43193817138672;29.375
23_03_21 11:24:31.165;45412;I;1008;808;2903;20;;53e2344700939ac7d39da9c64eba05420000eb41;46306.32421875;-79142.0;-21710.912109375;33.43193817138672;29.375
23_03_21 11:24:31.264;45414;I;1008;808;2903;20;;7ee1344722939ac7a2a3a9c6cc1f03420000eb41;46305.4921875;-79142.265625;-21713.81640625;32.78105163574219;29.375
23_03_21 11:24:31.370;45417;I;1008;808;2903;20;;e3e03447fd929ac74ba4a9c6cc1f03420000eb41;46304.88671875;-79141.9765625;-21714.146484375;32.78105163574219;29.375
