Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;pid;p;i;d
23_02_21 12:17:30.551;0;I;1210;1;2262;13;;000ad7233c0ad7233c00000000;0;0.009999999776482582;0.009999999776482582;0.0
23_02_21 12:54:34.412;22494;I;1210;1;2262;13;;00cdcccc3d0ad7233c00000000;0;0.10000000149011612;0.009999999776482582;0.0
23_02_21 12:59:26.117;92063;I;1210;1;2262;13;;000ad7233ccdcccc3d00000000;0;0.009999999776482582;0.10000000149011612;0.0
23_02_21 13:01:53.243;101128;I;1210;1;2262;13;;000ad7233c6f12833a00000000;0;0.009999999776482582;0.0010000000474974513;0.0
23_02_21 13:06:40.709;105728;I;1210;1;2262;13;;000ad7233c0ad7233c0ad7233c;0;0.009999999776482582;0.009999999776482582;0.009999999776482582
23_02_21 13:11:22.520;114823;I;1210;1;2262;13;;000ad7233c000000000ad7233c;0;0.009999999776482582;0.0;0.009999999776482582
