Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;rate
23_02_21 12:20:08.710;0;O;1;1210;21B0;4;ERR;00000000;0.0
23_02_21 12:28:08.214;27395;O;1;1210;21B0;4;ERR;0000c842;100.0
23_02_21 12:48:59.820;43800;O;1;1210;21B0;4;ERR;00000000;0.0
23_02_21 12:50:37.473;81546;O;1;1210;21B0;4;ERR;00000000;0.0
23_02_21 12:57:25.944;84876;O;1;1210;21B0;4;ERR;00000000;0.0
23_02_21 13:00:48.204;97433;O;1;1210;21B0;4;ERR;00000000;0.0
