Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;reason
23_02_21 12:06:33.688;2226;I;1210;808;19A0;1;;00;0
23_02_21 12:08:52.622;2555;I;1210;808;19A0;1;;02;2
