Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;pid;p;i;d
23_02_21 12:53:29.470;0;O;1;1210;22B0;13;ERR;00cdcccc3d0ad7233c00000000;0;0.10000000149011612;0.009999999776482582;0.0
23_02_21 12:54:25.749;90065;O;1;1210;22B0;13;ERR;00cdcccc3d0ad7233c00000000;0;0.10000000149011612;0.009999999776482582;0.0
23_02_21 12:59:23.750;91794;O;1;1210;22B0;13;ERR;000ad7233ccdcccc3d00000000;0;0.009999999776482582;0.10000000149011612;0.0
23_02_21 13:01:50.466;101053;O;1;1210;22B0;13;ERR;000ad7233c6f12833a00000000;0;0.009999999776482582;0.0010000000474974513;0.0
23_02_21 13:06:29.069;105640;O;1;1210;22B0;13;ERR;000ad7233c0ad7233c0ad7233c;0;0.009999999776482582;0.009999999776482582;0.009999999776482582
23_02_21 13:11:19.824;114464;O;1;1210;22B0;13;ERR;000ad7233c000000000ad7233c;0;0.009999999776482582;0.0;0.009999999776482582
