Date and Time ISO;Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;msg_id
2023-05-02 12:10:03.291;23_05_02 12:10:03.291;0;I;CF0;1;1920;2;;3419;6452
2023-05-02 12:34:21.236;23_05_02 12:34:21.236;450;I;CF0;1;1920;2;;3419;6452
