Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;angRate
23_02_21 12:05:38.984;0;I;1210;808;2100;4;;25ee313d;0.04344000294804573
23_02_21 12:05:39.113;0;I;1210;808;2100;4;;13483c3d;0.04596717283129692
23_02_21 12:05:39.242;0;I;1210;808;2100;4;;a00c333d;0.04371321201324463
23_02_21 12:05:39.373;0;I;1210;808;2100;4;;ae331cbd;-0.03813522309064865
23_02_21 12:05:39.501;0;I;1210;808;2100;4;;421918bd;-0.037133462727069855
23_02_21 12:05:39.632;0;I;1210;808;2100;4;;d937c83d;0.09776277095079422
23_02_21 12:05:39.761;0;I;1210;808;2100;4;;dd3a3a3d;0.04546629264950752
23_02_21 12:05:39.891;0;I;1210;808;2100;4;;aeb7013d;0.031669311225414276
23_02_21 12:05:40.023;0;I;1210;808;2100;4;;0187a5bd;-0.08082390576601028
23_02_21 12:05:40.153;0;I;1210;808;2100;4;;109ef83c;0.03034880757331848
23_02_21 12:05:40.282;0;I;1210;808;2100;4;;5433dd3c;0.027002014219760895
23_02_21 12:05:40.414;0;I;1210;808;2100;4;;0a5aa0bd;-0.0782967358827591
23_02_21 12:05:40.543;0;I;1210;808;2100;4;;d9dcc0be;-0.37668493390083313
23_02_21 12:05:40.675;0;I;1210;808;2100;4;;b91906be;-0.1309574991464615
23_02_21 12:05:40.806;0;I;1210;808;2100;4;;ac6685bd;-0.06513723731040955
23_02_21 12:05:40.937;0;I;1210;808;2100;4;;f395fe3c;0.03107736073434353
23_02_21 12:05:41.065;0;I;1210;808;2100;4;;57dd203d;0.03927358612418175
23_02_21 12:05:41.197;0;I;1210;808;2100;4;;cbb730bd;-0.04314402863383293
23_02_21 12:05:41.328;0;I;1210;808;2100;4;;3e5433bd;-0.04378151148557663
23_02_21 12:05:41.459;0;I;1210;808;2100;4;;292f31bd;-0.04325786605477333
23_02_21 12:05:41.588;0;I;1210;808;2100;4;;74a78d3d;0.06916704773902893
23_02_21 12:05:41.728;0;I;1210;808;2100;4;;1881893d;0.06714075803756714
23_02_21 12:05:41.848;0;I;1210;808;2100;4;;9c09413d;0.047128304839134216
23_02_21 12:05:41.978;0;I;1210;808;2100;4;;425725bd;-0.04036641865968704
23_02_21 12:05:42.108;0;I;1210;808;2100;4;;849b8dbd;-0.06914427876472473
23_02_21 12:05:42.239;0;I;1210;808;2100;4;;cbfd083d;0.03344516083598137
23_02_21 12:05:42.368;0;I;1210;808;2100;4;;aa6e37bd;-0.044783271849155426
23_02_21 12:05:42.498;0;I;1210;808;2100;4;;f395fe3c;0.03107736073434353
23_02_21 12:05:42.629;0;I;1210;808;2100;4;;3986833e;0.2568834125995636
23_02_21 12:05:42.758;0;I;1210;808;2100;4;;7446943d;0.07240000367164612
23_02_21 12:05:42.888;0;I;1210;808;2100;4;;1eaac03c;0.023518618196249008
23_02_21 12:05:43.017;0;I;1210;808;2100;4;;b9d32d3c;0.010609560646116734
23_02_21 12:05:43.148;0;I;1210;808;2100;4;;7b8a053c;0.008150692097842693
23_02_21 12:05:43.278;0;I;1210;808;2100;4;;d65f0d3c;0.008628806099295616
23_02_21 12:05:43.407;0;I;1210;808;2100;4;;54aff73b;0.007558742538094521
23_02_21 12:05:43.536;0;I;1210;808;2100;4;;eea75bbf;-0.858031153678894
23_02_21 12:05:43.667;0;I;1210;808;2100;4;;65843dbe;-0.18507535755634308
23_02_21 12:05:43.796;0;I;1210;808;2100;4;;a00cb3bc;-0.021856606006622314
23_02_21 12:05:43.928;0;I;1210;808;2100;4;;c7999d3c;0.019238365814089775
23_02_21 12:05:44.057;0;I;1210;808;2100;4;;9551003d;0.03132780268788338
23_02_21 12:05:44.186;0;I;1210;808;2100;4;;749f42bd;-0.047515347599983215
23_02_21 12:05:44.317;0;I;1210;808;2100;4;;1766cf3d;0.1012689396739006
23_02_21 12:05:44.447;0;I;1210;808;2100;4;;06db93bd;-0.07219509780406952
23_02_21 12:05:44.577;0;I;1210;808;2100;4;;725691bd;-0.07096566259860992
23_02_21 12:05:44.707;0;I;1210;808;2100;4;;1e51123d;0.03572189062833786
23_02_21 12:05:44.837;0;I;1210;808;2100;4;;214c39bd;-0.045238617807626724
23_02_21 12:05:44.968;0;I;1210;808;2100;4;;cb9c0f3d;0.03506163880228996
23_02_21 12:05:45.099;0;I;1210;808;2100;4;;aa53163d;0.03670088201761246
23_02_21 12:05:45.226;0;I;1210;808;2100;4;;95aa2ebd;-0.04264314845204353
23_02_21 12:05:45.357;0;I;1210;808;2100;4;;71812fbd;-0.04284805431962013
23_02_21 12:05:45.489;0;I;1210;808;2100;4;;71e2283d;0.04123157635331154
23_02_21 12:05:45.616;0;I;1210;808;2100;4;;481fe33d;0.11089950799942017
23_02_21 12:05:45.745;0;I;1210;808;2100;4;;aacf303d;0.04316679388284683
23_02_21 12:05:45.873;0;I;1210;808;2100;4;;cb94c43c;0.023996731266379356
23_02_21 12:05:46.003;0;I;1210;808;2100;4;;d6dba73c;0.02049056813120842
23_02_21 12:05:46.133;0;I;1210;808;2100;4;;6201983c;0.018555346876382828
23_02_21 12:05:46.261;0;I;1210;808;2100;4;;ef64953c;0.01823660545051098
23_02_21 12:05:46.388;0;I;1210;808;2100;4;;d619b53c;0.022107046097517014
23_02_21 12:05:46.518;0;I;1210;808;2100;4;;376970bd;-0.05869409069418907
23_02_21 12:05:46.645;0;I;1210;808;2100;4;;7469003d;0.03135056793689728
23_02_21 12:05:46.774;0;I;1210;808;2100;4;;2c0f37bd;-0.044692203402519226
23_02_21 12:05:46.903;0;I;1210;808;2100;4;;f267073d;0.03305811434984207
23_02_21 12:05:47.032;0;I;1210;808;2100;4;;b5d8063d;0.03292151167988777
23_02_21 12:05:47.160;0;I;1210;808;2100;4;;e89c3ebd;-0.04653635621070862
23_02_21 12:05:47.290;0;I;1210;808;2100;4;;7179e43c;0.02788993902504444
23_02_21 12:05:47.419;0;I;1210;808;2100;4;;6d7e3dbd;-0.04626314714550972
23_02_21 12:05:47.548;0;I;1210;808;2100;4;;2192113d;0.03553975000977516
23_02_21 12:05:47.677;0;I;1210;808;2100;4;;f3212f3d;0.04275698587298393
23_02_21 12:05:47.806;0;I;1210;808;2100;4;;fa2713bd;-0.03592679649591446
23_02_21 12:05:47.935;0;I;1210;808;2100;4;;fdc1403d;0.04706000164151192
23_02_21 12:05:48.064;0;I;1210;808;2100;4;;f601353d;0.04419132322072983
23_02_21 12:05:48.194;0;I;1210;808;2100;4;;c4962b3d;0.041891828179359436
23_02_21 12:05:48.322;0;I;1210;808;2100;4;;0cc63d3d;0.04633145034313202
23_02_21 12:05:48.452;0;I;1210;808;2100;4;;08e6373d;0.044897109270095825
23_02_21 12:05:48.582;0;I;1210;808;2100;4;;95416abc;-0.01429786253720522
23_02_21 12:05:48.713;0;I;1210;808;2100;4;;25cbc53d;0.09657887369394302
23_02_21 12:05:48.865;0;I;1210;808;2100;4;;834a91bd;-0.07094290107488632
23_02_21 12:05:48.971;0;I;1210;808;2100;4;;137e7ebd;-0.06213195249438286
23_02_21 12:05:49.101;0;I;1210;808;2100;4;;6665033d;0.032079122960567474
23_02_21 12:05:49.231;0;I;1210;808;2100;4;;3e39123b;0.002231195103377104
23_02_21 12:05:49.362;0;I;1210;808;2100;4;;40eb87bd;-0.06636667251586914
23_02_21 12:05:49.491;0;I;1210;808;2100;4;;1994df3d;0.10916919261217117
23_02_21 12:05:49.621;0;I;1210;808;2100;4;;a02f9f3d;0.0777275562286377
23_02_21 12:05:49.753;0;I;1210;808;2100;4;;98ad203d;0.03922805190086365
23_02_21 12:05:49.883;0;I;1210;808;2100;4;;b1360e3d;0.034720126539468765
23_02_21 12:05:50.013;0;I;1210;808;2100;4;;e8e2163d;0.036837488412857056
23_02_21 12:05:50.143;0;I;1210;808;2100;4;;157e97bd;-0.07397095113992691
23_02_21 12:05:50.274;0;I;1210;808;2100;4;;b1360e3d;0.034720126539468765
23_02_21 12:05:50.405;0;I;1210;808;2100;4;;9c72053d;0.03258000314235687
23_02_21 12:05:50.536;0;I;1210;808;2100;4;;503836bd;-0.04448729753494263
23_02_21 12:05:50.668;0;I;1210;808;2100;4;;dd5d26bd;-0.04061685875058174
23_02_21 12:05:50.795;0;I;1210;808;2100;4;;8eea223d;0.039774470031261444
23_02_21 12:05:50.924;0;I;1210;808;2100;4;;aaf21c3d;0.03831735998392105
23_02_21 12:05:51.053;0;I;1210;808;2100;4;;3e1626bd;-0.04054855555295944
23_02_21 12:05:51.183;0;I;1210;808;2100;4;;d97d20bd;-0.03918251767754555
23_02_21 12:05:51.312;0;I;1210;808;2100;4;;470c8dbd;-0.06887107342481613
23_02_21 12:05:51.442;0;I;1210;808;2100;4;;d69d1a3d;0.03774818032979965
23_02_21 12:05:51.572;0;I;1210;808;2100;4;;7cb8fc3c;0.03084968775510788
