Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;torque
23_02_21 12:05:38.938;0;I;1210;808;2101;4;;b292d0b5;-1.5539901596639538e-06
23_02_21 12:05:39.048;0;I;1210;808;2101;4;;9007fd35;1.8852169887395576e-06
23_02_21 12:05:39.177;0;I;1210;808;2101;4;;acdbd4b5;-1.5859163795539644e-06
23_02_21 12:05:39.307;0;I;1210;808;2101;4;;1d4deb35;1.753130732140562e-06
23_02_21 12:05:39.437;0;I;1210;808;2101;4;;26ead2b5;-1.571436541780713e-06
23_02_21 12:05:39.566;0;I;1210;808;2101;4;;1a983435;6.727656227667467e-07
23_02_21 12:05:39.696;0;I;1210;808;2101;4;;8d0a1b35;5.775735303359397e-07
23_02_21 12:05:39.826;0;I;1210;808;2101;4;;5ee00232;7.618011110821499e-09
23_02_21 12:05:39.958;0;I;1210;808;2101;4;;a6c191b6;-4.343880391388666e-06
23_02_21 12:05:40.088;0;I;1210;808;2101;4;;0cb73b35;6.992929684201954e-07
23_02_21 12:05:40.218;0;I;1210;808;2101;4;;f99d7ab6;-3.734485517270514e-06
23_02_21 12:05:40.348;0;I;1210;808;2101;4;;5b2278b6;-3.697487727549742e-06
23_02_21 12:05:40.479;0;I;1210;808;2101;4;;49bb9835;1.1379389661669848e-06
23_02_21 12:05:40.609;0;I;1210;808;2101;4;;14cc9db6;-4.7027224354678765e-06
23_02_21 12:05:40.740;0;I;1210;808;2101;4;;a94a8136;3.853191174130188e-06
23_02_21 12:05:40.872;0;I;1210;808;2101;4;;c05ea434;3.0616320145782083e-07
23_02_21 12:05:41.001;0;I;1210;808;2101;4;;1740bc35;1.4025744121681782e-06
23_02_21 12:05:41.132;0;I;1210;808;2101;4;;7bf290b5;-1.0799407164086006e-06
23_02_21 12:05:41.262;0;I;1210;808;2101;4;;27230736;2.0137028968747472e-06
23_02_21 12:05:41.394;0;I;1210;808;2101;4;;a79cde35;1.6585880757702398e-06
23_02_21 12:05:41.523;0;I;1210;808;2101;4;;d4d52f37;1.048059857566841e-05
23_02_21 12:05:41.668;0;I;1210;808;2101;4;;ad6c45b6;-2.9418545182124944e-06
23_02_21 12:05:41.783;0;I;1210;808;2101;4;;120dc734;3.707614837367146e-07
23_02_21 12:05:41.914;0;I;1210;808;2101;4;;05673c35;7.018537075964559e-07
23_02_21 12:05:42.044;0;I;1210;808;2101;4;;98d78835;1.019553565129172e-06
23_02_21 12:05:42.175;0;I;1210;808;2101;4;;6269b435;1.3441715509543428e-06
23_02_21 12:05:42.304;0;I;1210;808;2101;4;;b7cf8636;4.01769239033456e-06
23_02_21 12:05:42.433;0;I;1210;808;2101;4;;2d0a0db6;-2.101656036757049e-06
23_02_21 12:05:42.562;0;I;1210;808;2101;4;;a4ef8037;1.537038042442873e-05
23_02_21 12:05:42.693;0;I;1210;808;2101;4;;0d3210b6;-2.1486805508175166e-06
23_02_21 12:05:42.823;0;I;1210;808;2101;4;;a24d80b6;-3.823734914476518e-06
23_02_21 12:05:42.953;0;I;1210;808;2101;4;;9aa72cb6;-2.572755420260364e-06
23_02_21 12:05:43.082;0;I;1210;808;2101;4;;a3b2cbb6;-6.070667495805537e-06
23_02_21 12:05:43.212;0;I;1210;808;2101;4;;400809b5;-5.104848241899163e-07
23_02_21 12:05:43.342;0;I;1210;808;2101;4;;1e9f14b4;-1.3841460599905986e-07
23_02_21 12:05:43.472;0;I;1210;808;2101;4;;5559d8b0;-1.5741458136986353e-09
23_02_21 12:05:43.601;0;I;1210;808;2101;4;;af96f2b6;-7.229703896882711e-06
23_02_21 12:05:43.731;0;I;1210;808;2101;4;;55053636;2.7123217023472534e-06
23_02_21 12:05:43.867;0;I;1210;808;2101;4;;2b304a36;3.012838305949117e-06
23_02_21 12:05:43.991;0;I;1210;808;2101;4;;f2fc9b35;1.1622016700130189e-06
23_02_21 12:05:44.122;0;I;1210;808;2101;4;;8c7f5f36;3.3303831514785998e-06
23_02_21 12:05:44.252;0;I;1210;808;2101;4;;e8182136;2.4005366867640987e-06
23_02_21 12:05:44.382;0;I;1210;808;2101;4;;d6301136;2.1635109987983014e-06
23_02_21 12:05:44.512;0;I;1210;808;2101;4;;5280c5b5;-1.4714989902131492e-06
23_02_21 12:05:44.642;0;I;1210;808;2101;4;;1da2e235;1.68854933235707e-06
23_02_21 12:05:44.773;0;I;1210;808;2101;4;;61b1ca35;1.5101796861927141e-06
23_02_21 12:05:44.902;0;I;1210;808;2101;4;;0dfec435;1.467707647861971e-06
23_02_21 12:05:45.033;0;I;1210;808;2101;4;;929cc735;1.4872223346173996e-06
23_02_21 12:05:45.162;0;I;1210;808;2101;4;;5a56ecb5;-1.7608501821086975e-06
23_02_21 12:05:45.291;0;I;1210;808;2101;4;;e0d800b6;-1.9199724192731082e-06
23_02_21 12:05:45.422;0;I;1210;808;2101;4;;834cbcb3;-8.768349601950831e-08
23_02_21 12:05:45.552;0;I;1210;808;2101;4;;f3e9ea36;7.000978712312644e-06
23_02_21 12:05:45.687;0;I;1210;808;2101;4;;1ce96834;2.169148842767754e-07
23_02_21 12:05:45.809;0;I;1210;808;2101;4;;258513b5;-5.49555181805772e-07
23_02_21 12:05:45.937;0;I;1210;808;2101;4;;711943b4;-1.8170045734677842e-07
23_02_21 12:05:46.067;0;I;1210;808;2101;4;;d04c92b6;-4.360081220511347e-06
23_02_21 12:05:46.198;0;I;1210;808;2101;4;;dca0f334;4.537931772574666e-07
23_02_21 12:05:46.325;0;I;1210;808;2101;4;;03042a35;6.333577289296954e-07
23_02_21 12:05:46.453;0;I;1210;808;2101;4;;cece6335;8.486503020321834e-07
23_02_21 12:05:46.581;0;I;1210;808;2101;4;;624da1b6;-4.807182449440006e-06
23_02_21 12:05:46.710;0;I;1210;808;2101;4;;079eecb5;-1.7629362218940514e-06
23_02_21 12:05:46.839;0;I;1210;808;2101;4;;d88ae6b5;-1.7176744222524576e-06
23_02_21 12:05:46.968;0;I;1210;808;2101;4;;9515b835;1.3715349496123963e-06
23_02_21 12:05:47.097;0;I;1210;808;2101;4;;7a3f04b6;-1.970648099813843e-06
23_02_21 12:05:47.225;0;I;1210;808;2101;4;;04b70ab6;-2.067013156192843e-06
23_02_21 12:05:47.354;0;I;1210;808;2101;4;;893ba735;1.2459796607799944e-06
23_02_21 12:05:47.483;0;I;1210;808;2101;4;;7335fbb5;-1.8716513068284257e-06
23_02_21 12:05:47.612;0;I;1210;808;2101;4;;d732cfb5;-1.5437498177561793e-06
23_02_21 12:05:47.741;0;I;1210;808;2101;4;;52f00436;1.980941760848509e-06
23_02_21 12:05:47.871;0;I;1210;808;2101;4;;0b8ac9b5;-1.5015842791399336e-06
23_02_21 12:05:47.999;0;I;1210;808;2101;4;;cae50d36;2.114439212164143e-06
23_02_21 12:05:48.128;0;I;1210;808;2101;4;;1197cab5;-1.5094138916538213e-06
23_02_21 12:05:48.258;0;I;1210;808;2101;4;;158fceb5;-1.5389838381452137e-06
23_02_21 12:05:48.388;0;I;1210;808;2101;4;;2ea033b6;-2.6766315386339556e-06
23_02_21 12:05:48.517;0;I;1210;808;2101;4;;b65ff035;1.7909248981595738e-06
23_02_21 12:05:48.647;0;I;1210;808;2101;4;;7911dc36;6.558545010193484e-06
23_02_21 12:05:48.819;0;I;1210;808;2101;4;;ea24bbb6;-5.5773316489649005e-06
23_02_21 12:05:48.926;0;I;1210;808;2101;4;;4f7aac36;5.1402380449872e-06
23_02_21 12:05:49.036;0;I;1210;808;2101;4;;4eb11a35;5.762748287452268e-07
23_02_21 12:05:49.166;0;I;1210;808;2101;4;;1a0910b6;-2.1462969925778452e-06
23_02_21 12:05:49.296;0;I;1210;808;2101;4;;37f13db6;-2.830360017469502e-06
23_02_21 12:05:49.426;0;I;1210;808;2101;4;;37c33cb6;-2.812781303873635e-06
23_02_21 12:05:49.557;0;I;1210;808;2101;4;;d1e99236;4.378358880785527e-06
23_02_21 12:05:49.688;0;I;1210;808;2101;4;;ffdb73b6;-3.633787628132268e-06
23_02_21 12:05:49.818;0;I;1210;808;2101;4;;b3862d35;6.464353532464884e-07
23_02_21 12:05:49.948;0;I;1210;808;2101;4;;9fc67935;9.304876016358321e-07
23_02_21 12:05:50.079;0;I;1210;808;2101;4;;62b5a535;1.2346247331151972e-06
23_02_21 12:05:50.210;0;I;1210;808;2101;4;;bbc99c35;1.1681617024805746e-06
23_02_21 12:05:50.339;0;I;1210;808;2101;4;;d88e1db5;-5.869492269994225e-07
23_02_21 12:05:50.470;0;I;1210;808;2101;4;;c16c0fb6;-2.13719636121823e-06
23_02_21 12:05:50.600;0;I;1210;808;2101;4;;1367f6b5;-1.835842681430222e-06
23_02_21 12:05:50.729;0;I;1210;808;2101;4;;5d7d0936;2.0487561869231286e-06
23_02_21 12:05:50.859;0;I;1210;808;2101;4;;9558e635;1.7162116137114936e-06
23_02_21 12:05:50.988;0;I;1210;808;2101;4;;aee3e135;1.6830069853313034e-06
23_02_21 12:05:51.119;0;I;1210;808;2101;4;;69c7dc35;1.644931330702093e-06
23_02_21 12:05:51.247;0;I;1210;808;2101;4;;0927ee35;1.7743742546372232e-06
23_02_21 12:05:51.378;0;I;1210;808;2101;4;;e8b0c735;1.4878141882945783e-06
23_02_21 12:05:51.507;0;I;1210;808;2101;4;;085cbd35;1.4108381947153248e-06
