Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;direction.x;direction.y;direction.z;invalidFlag;mcuTemperature
23_03_14 14:37:39.092;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000122;0.0;0.0;0.0;True;34
23_03_14 14:37:39.208;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000122;0.0;0.0;0.0;True;34
23_03_14 14:37:39.294;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000122;0.0;0.0;0.0;True;34
23_03_14 14:37:39.392;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000122;0.0;0.0;0.0;True;34
23_03_14 14:37:39.492;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000120;0.0;0.0;0.0;True;32
23_03_14 14:37:39.592;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000122;0.0;0.0;0.0;True;34
23_03_14 14:37:39.693;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:39.793;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000122;0.0;0.0;0.0;True;34
23_03_14 14:37:39.893;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:39.994;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:40.093;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:40.193;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:40.293;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000120;0.0;0.0;0.0;True;32
23_03_14 14:37:40.393;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:40.494;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:40.594;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:40.692;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000122;0.0;0.0;0.0;True;34
23_03_14 14:37:40.793;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:40.892;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000122;0.0;0.0;0.0;True;34
23_03_14 14:37:40.993;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:41.094;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:41.193;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000122;0.0;0.0;0.0;True;34
23_03_14 14:37:41.293;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:41.396;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:41.492;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000122;0.0;0.0;0.0;True;34
23_03_14 14:37:41.593;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:41.694;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000122;0.0;0.0;0.0;True;34
23_03_14 14:37:41.795;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000122;0.0;0.0;0.0;True;34
