Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;rate
23_02_21 12:29:03.701;42090;O;1;1220;21B0;4;ERR;0000c842;100.0
23_02_21 12:50:41.688;84729;O;1;1220;21B0;4;ERR;00000000;0.0
